acc,uniqueid
1.0,A2L5I3PPIZUMO5:323Q6SJS8JYGPAC8BXXFLNKPT7ZFHR
0.92,A2LLFJURME73XE:31UV0MXWNRUOJ8U3B32RZNUR1ZT5IZ
0.95,A2LW2GSGDM72NX:3WRFBPLXRB6DJUIQU0RQPYSOAAE3NM
1.0,A2MPKNJCR0RUBA:3DIP6YHAPDAVQLBJDIJ3QS6QDW8E8O
0.94,A2MYJ7ZXXVRLLN:3YMTUJH0DTYWW36ERAIL82QMDFH4T4
0.99,A2N8FYNKM133KF:3HUTX6F6VV56GXMJRFDYLDN1WPCO28
0.96,A2NGR3EJSTERMD:33LK57MYLUNBK0HON33LST79CMJZSP
0.99,A2NWE1P2HMDELQ:3HSYG7LRBKGI7M5UITR9ESSMOD9KK8
0.96,A2OFRJHPNIMPI7:3KWTYT0871LQ9929W6Z4R3MJL345LX
0.98,A2QEFWKYSMYOJT:39DD6S19JQTAAHC6M8JG3C3UDWCEZ9
0.9,A2QITGKAUEPD56:38F71OA9GUE2HODJ2UDSDSSLASTMF0
0.98,A2QJZJDCGK0FKR:3TMSXRD2X7I7WLDPZX4UXOQI4Y2W13
1.0,A2R3TUR4L6KDH:32EYX73OY1RIXMN12R48LRNYQBMURS
0.99,A2R40R4O6G0YBY:37M28K1J0RVHKPQQOHE8JZPD9RIJAV
0.98,A2V3JF5LEL7L7U:33PPUNGG39NZJLHB8E3G2J2DQKDZRE
0.94,A2VF6506WDNXKS:3M81GAB8A113PMZVPLYDBBL52XZQBB
1.0,A2XHD64QUKA5Z6:3H0W84IWBLK18QQFCRP3H91V1RIRE3
1.0,A2XTK2B7R27RBG:3MH9DQ757XUR8WENMGAWMN9RMVWUG1
0.99,A32IRN8APZMCQ2:3UJ1CZ6IZI7DDMXZGFW53P0EDEUS5E
0.96,A32W24TWSWXW:3Z2R0DQ0JIWK469UX1A2G1TNSNME2A
0.99,A37XJVQF62ZYC:31EUONYN2WLFDOKLFPX9NIKCTNCOVN
1.0,A387RCGCQOV3SY:3HHRAGRYX9NHGH7ICOSDV0VF2VKO9Y
0.98,A38HYUTYWWREGH:386CSBG1O04XJAI0TUH50VZDOAG6QQ
0.94,A39ZJ6GDHFZRJW:3VAR3R6G1QJH2CO87WMZV404IP3O8A
0.99,A3AGU4FBSDDVYS:3BF51CHDTWSPS6XI8FEUIGXLLL8H0H
0.99,A3CUCMYK88L67N:37W3JXSD67Q4MROSBMB3BB1SCDNYW4
1.0,A3DCMX6ZGD7Y6T:3R8YZBNQ9I0GNAW5C4MX69Z9M6G7QF
0.99,A3FUTSFH39MJA5:3U8YCDAGXQY25ZWLR51ORUPMCHN0QX
0.97,A3GJHPDF1JJG6:37M28K1J0RVHKPQQOHE8JZPD6LBAJ0
1.0,A3H742JJ9Q8DZW:32SCWG5HIIMCJYHLTH2G0Q93MZUP6R
0.72,A3JLE2LJ5I17E2:3BGYGHDBBY2S9QXE4HF1E0KYT0A224
1.0,A3K2DJJV5DWBFD:30JNVC0ORA2DGZ2HPD89XMO300PQHV
1.0,A3KWM8WSJMGI45:37W3JXSD67Q4MROSBMB3BB1SE68WYB
0.94,A3KX7XHORQC0TP:3PM8NZGV8ZYA2P2WUHQV08CXOZRQXP
0.99,A3M877E9CGI09C:3JAOYWH7VJM9AW4LZWCL3JRL56TL9M
0.95,A3NK3VPYRHZBW8:369J354OFES66LOMQYCT6HVBILRG6L
0.97,A3NMQ3019X6YE0:3YDGXNSEO0CDYJEQOC7QH6UZZ4R84I
0.99,A3P1S5BG8KQFUX:3WQQ9FUS6BCXJIZZ3RHDPK059ZEB83
0.98,A3PSY76FRTWBBI:3WETL7AQWUQ9T5CKQ0V4VHS2L8335P
0.98,A3THR2UWGQNVX4:3X4MXAO0BH6VPQC6XRJ93F8V6CXWRU
0.95,A3UF57FNNCJPN3:3HVVDCPGTFACUAKYGH6SORUT8RHYT6
0.91,A3ZWMVK6GNTJ8:3VAR3R6G1QJH2CO87WMZV404IP3O8A
1.0,A55CXM7QR7R0N:34S9DKFK747EZXFEJLKGFSO1K9ENYE
0.91,A77K8W55MJEKX:3R3YRB5GRGLQY51K0GIMQ1YOQZGAU2
0.99,A7KDJOFZ52BRW:3NS0A6KXC5Q8UV8XS3943FO6OBWGZT
0.98,A9HVP2MLUH38A:3IHR8NYAM8JY4BD7AT913SPPPM1P4A
0.99,A9YY444ESHD5H:3M68NM076IPXVBX069655L9ILG6R65
0.98,AAE6DGZOC9EWQ:317HQ483I8AS9X09F3YDT4UDVB2NI1
0.98,AAOZG7J3B1UPZ:3IFS6Q0HJJ1PPASENZFZSY4JILTSIN
0.97,ADIAEAPYRI8CK:3OSWBBLG1FFGDGYRPVKB095Y38KXDJ
0.98,AKNLD4GWEGW4U:3NG53N1RLW1ZNC09MWZEK45US5C8PA
0.96,AKWIRTRUXO6R5:35LDD5557BMDXA5X354PT5KQIO8MK0
0.99,AM2KK02JXXW48:3SKEMFQBZ4NYCL3T94U6ONJVVTJK8R
0.98,AN098C29EGJ6:3IOEN3P9S81926YJ8FRQZUR5GUS61R
0.99,AN6L87Z4LP6R5:3S4AW7T80C08DQY9I1GUMBG5LY04L0
0.97,AONJLTBODD2WN:31QTRG6Q2UVE2IRRZ0X8JHTWIAVYP7
0.98,AOVNUOP2R11FM:308XBLVESJM31NEV20NDG1VAZ78RBX
1.0,APF1EAZT104LQ:358UUM7WR0LGZBB5PJBXBZ9EISI7RG
0.98,AQ9Y6WD8O72ZC:3R5F3LQFV32WM8PVGMMC8OX8HX1ZOF
0.97,AS4XSO7ISRJYO:3R3YRB5GRGLQY51K0GIMQ1YOOGZAUH
0.94,AT13EK8JER5C3:3LJ7UR74RIVY1Q1UUEW9Z3KUMRNN40
0.99,ATP43ZVI1RP0C:3ZAK8W07I5WUXS328ELT1VMBHDC0U9
0.99,ATPAMEYV22WR9:3BF51CHDTWSPS6XI8FEUIGXLNFY0HG
1.0,AU2C0Q45DVGJO:3NAPMVF0ZXXZVRUKATWWAR1660G27A
0.99,AXNPHDXV1GK6Y:3DEL4X4EL73JBRTILR7PDUFZN89YX1
0.97,AXOAJZBYQYPN7:3D3VGR7TA1XYYSAIN787YIXYCZ6R3M
0.95,AXZXC1CV3NO13:33FBRBDW6PHGTNR5HRD8046NTADC8S
1.0,AYW62R027PUT1:3SUWZRL0MZV8M7SVK3M56EAZ8S8E6B
0.93,AZHUSPCYLCBIL:3UJ1CZ6IZI7DDMXZGFW53P0EDZMS5C
