acc,uniqueid
1.0,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM
0.99,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ
0.98,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7
0.98,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7
0.91,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0
0.98,A12A5GVJX5RZC4:3X87C8JFV7T268GX07K810V54DZSQA
1.0,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B
0.99,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0
1.0,A15KQ2ZZ701NMK:3OVR4I9USQ1J4NEMA6OQ3XFZV3I4QI
1.0,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN
0.97,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ
1.0,A17PAE30BGBO1T:379J5II41PYQ5SV277S7VXSWYNWLEP
0.97,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB
0.96,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N
0.98,A199ECPSCLODO6:384PI804XTJEIFBYJ9QTMU4NVP60SP
1.0,A19G8ONKY3FQNM:3TE3O85731Q9DAEZJ7U2F8S673D2RU
0.93,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM
0.94,A1AA0WXXEHPM3V:3WEV0KO0ONA8HZCSVLEO11O6O5ASDM
0.99,A1B5KIQ8JLR2F7:3IHR8NYAM8JY4BD7AT913SPPNBMP47
0.99,A1B9H14AV44C0G:3BEFOD78W7BSJ8GUIDH9MOVUL33M4X
0.93,A1BSL1VC7PQR04:3ZY8KE4ISKLIY0X1U2PDCNFC8OMVQU
1.0,A1C7UV2UT2S9T7:3FQ5JJ512M6JFSQXF6JP6K9QN5BNKC
0.97,A1EP1BT7SH6S1C:34Z02EIMITVFXFOD89VJWZ09WOQT08
0.96,A1FTTOECAA04JO:3DY4FPOOA26IA1C17HEDHDPH4AOVRV
0.98,A1HCAHVUX8W26M:3T3IWE1XG753L8TCP7PYB5RRBCJTQ7
0.95,A1JDVHXCOUWSTK:36U2A8VAG2HDRRUBM8S0N07XO7TKYA
0.98,A1KTPYX40PRLVW:3X0H8UUIT267Q5CJCGJETPDRSEUSWS
0.97,A1L5EE6Z5G4938:36H9ULYP63CCGG7YZX00X0046Z7JF4
1.0,A1LB9JOMFQ1UMG:3IUZPWIU1PP92MZB77AC23MHGR2KW7
0.99,A1NMCSVPHOTPYG:3P1L2B7AD27CHJ8R1LV309MA209LOM
0.98,A1P0XSCJ9XAV74:37U1UTWH9W4KZPGOZO33PZ59SLY8RV
0.98,A1PKCBFB4QY19G:3UXUOQ9OKFFO0UPON8PBG9K4INNA72
1.0,A1PP6DN7HB6Q9P:3MAOD8E57RSPZSP4EPYEWEHSGQUXN0
1.0,A1PPGTZ7U838XJ:30ZX6P7VF9DSFMVMB2LTDH6FUA72JZ
0.98,A1REBBLJU3AZV0:3TE3O85731Q9DAEZJ7U2F8S65T2R2M
0.97,A1RVMADIZE3BXK:33CKWXB73K2EVKXM29F94Y0O8KR115
1.0,A1UJ5P13WJV91O:31T4R4OBOTYCT9MM7ML2M4ASGX87CD
1.0,A1V9G7V6ZYACIR:33JKGHPFYDCE5GQ00IW5LX1UBV1MNG
0.98,A1VI3SOIHT6Y0D:3AUQQEL7U6BUA7S2D4VYXHOUVVYV0S
1.0,A1WISFBL3J5Z12:3ATTHHXXWB6XLREDH9LMR6LBX0NXIS
0.97,A1ZE0MLGKWQLM8:3TAYZSBPLMQLEPECYWU75IX2TEM2SQ
1.0,A1ZHKX7IKC9I9I:3FTF2T8WLS0PLQGK3AJNCU813EH9WP
0.98,A20SL254675EOK:30LB5CDZNDSBJRXCE1K1IN1QG6IZ07
0.99,A20YGFCRNDTD6:3LS2AMNW5G8N8GO4TQ3ZHVL4CVUOQQ
1.0,A23PSX2ZO4F65Q:3E13VNJ1NODPVQTKAG0FWXHASJX1IP
0.96,A247LQ2UQW4LH0:3OF2M9AATH6DWH4GIUUJ17GZX47ZKZ
0.95,A25KM3PUOUZFN1:3OVHNO1VE7J5IBY6QD8WXUL9BJ9DZ9
1.0,A27CB6JIC5MZFR:3KGTPGBS6Y31T26GN1P7KJFQEASU2H
0.99,A286H1M66CL5ZI:37UQDCYH6YD8SISMY3G7CWYH3ODV7V
1.0,A28Z4EOSSQAZM2:34V1S5K3GTJRRB1ECS6JE09OHVG69H
0.98,A29V2XPA9H2NAN:3DIP6YHAPDAVQLBJDIJ3QS6QCCSE83
0.99,A2AAFWAAS9C1QC:3GU1KF0O4JJIPAYGP8JOB6VV0RKPB9
0.99,A2CF2BD4Q0ZDJN:3L4PIM1GQUYZEV76CS1XOCTBK6KYRT
0.99,A2EW8H9R0T06M4:3K4J6M3CXFB7TN0PGBT5MMXXHR9AGA
1.0,A2FE0I7W269C1C:3ZSANO2JCGP5FJQOMR9EP1RR282FSE
0.99,A2INXY39KBM92F:3WT783CTPCZZVLPCK3XIR6WO1H5BCZ
0.98,A2KTQ9M7CW05XF:3ND9UOO81LKKMSHTS7MDH3ZW5R2WLH
