timestamp,interval,value,eventnum,uniqueid,eventtype
1532018781461,9412,on,8,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532018789586,8125,off,9,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532018802640,13054,on,10,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532018806071,3431,"[1920, 1030]",11,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532019386503,580432,off,12,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532019391240,4737,on,13,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532019782846,391606,off,14,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532019788248,5402,on,15,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532019965578,177330,"[1024, 768]",16,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532019966716,1138,off,17,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532019974304,7588,on,18,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020193176,218872,off,19,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020201623,8447,on,20,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020377947,176324,"[1366, 718]",21,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020379064,1117,off,22,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020383189,4125,on,23,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020383455,266,"[724, 527]",24,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020385326,1871,"[1920, 1030]",25,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020391384,6058,"[724, 527]",26,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020394543,3159,"[1920, 1030]",27,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020421973,27430,"[724, 527]",28,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020424378,2405,off,29,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020456404,32026,on,30,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020456760,356,"[1920, 1030]",31,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020460032,3272,"[724, 527]",32,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020472540,12508,off,33,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020481346,8806,on,34,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020487442,6096,off,35,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020522903,35461,on,36,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020538618,15715,off,37,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020541506,2888,on,38,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020543179,1673,"[1920, 1030]",39,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020544866,1687,off,40,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020546226,1360,on,41,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020613432,67206,"[724, 527]",42,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020624788,11356,off,43,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020693721,68933,on,44,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020695666,1945,"[1920, 1030]",45,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020702412,6746,off,46,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020702412,0,on,47,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020715192,12780,off,48,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020715197,5,on,49,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020720727,5530,off,50,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020720731,4,on,51,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020724664,3933,"[724, 527]",52,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532020728806,4142,off,53,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020730014,1208,on,54,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020731751,1737,off,55,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020754205,22454,on,56,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020756817,2612,off,57,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020756820,3,on,58,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532020760754,3934,off,59,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532023087167,2326413,on,60,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532023092357,5190,off,61,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532023092357,0,on,62,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532023097954,5597,off,63,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532023097957,3,on,64,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1531945249639,0,,1,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,initialized
1531945249639,0,"[1024, 768]",2,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,window_resize
1531945264605,14966,off,3,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,focus
1531945291978,27373,on,4,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,focus
1531945292335,357,"[1920, 1080]",5,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,window_resize
1531945301339,9004,off,6,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,focus
1531945305422,4083,on,7,A11MCPY8W4U6FL:3TPWUS5F8AJRJONNFUTEEK99BIUWC7,focus
1531525741299,0,,1,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,initialized
1531525741299,0,"[1280, 630]",2,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,window_resize
1531525752520,11221,off,3,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,focus
1531525789962,37442,on,4,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,focus
1531525790878,916,off,5,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,focus
1531525791886,1008,on,6,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,focus
1531525792398,512,"[1280, 720]",7,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,window_resize
1531525792775,377,off,8,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,focus
1531525804272,11497,on,9,A124E03UMDZAA9:3WMINLGALCLUCBKKEPXMWVCIGCUAC0,focus
1531360298907,0,,1,A12A5GVJX5RZC4:3X87C8JFV7T268GX07K810V54DZSQA,initialized
1531360298907,0,"[1890, 976]",2,A12A5GVJX5RZC4:3X87C8JFV7T268GX07K810V54DZSQA,window_resize
1531598432345,0,,1,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,initialized
1531598432345,0,"[1024, 768]",2,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,window_resize
1531598455633,23288,"[1920, 1200]",3,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,window_resize
1531599498179,1042546,"[1024, 768]",4,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,window_resize
1531599500519,2340,off,5,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,focus
1531599514816,14297,on,6,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,focus
1531599519077,4261,"[1920, 1199]",7,A12ASB8854TT4:3KOPY89HM9KH04R5F2ZYWRB71F8J3B,window_resize
1531783016612,0,,1,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,initialized
1531783016613,1,"[1920, 1029]",2,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,window_resize
1531783039947,23334,"[1920, 1080]",3,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,window_resize
1531784440272,1400325,off,4,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,focus
1531784445426,5154,on,5,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,focus
1531784449359,3933,off,6,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,focus
1531784451465,2106,on,7,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,focus
1531784451948,483,off,8,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,focus
1531784452193,245,"[1920, 1079]",9,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,window_resize
1531784461747,9554,on,10,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,focus
1531784461961,214,"[1920, 1080]",11,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,window_resize
1531784465702,3741,"[1920, 1029]",12,A136K9Y7E4C3G:3XCC1ODXDMTQ5TGKLIK3BQQ9L8NQRO,window_resize
1531594357201,0,,1,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,initialized
1531594357201,0,"[1920, 1029]",2,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,window_resize
1531594436445,79244,off,3,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,focus
1531594459660,23215,on,4,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,focus
1531594463313,3653,"[1920, 1080]",5,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,window_resize
1531595108021,644708,off,6,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,focus
1531595108388,367,"[1920, 1079]",7,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,window_resize
1531595121859,13471,on,8,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,focus
1531595122089,230,"[1920, 1080]",9,A14294HZGND1AZ:3P1L2B7AD27CHJ8R1LV309MA0UYOL0,window_resize
1531936417445,0,,1,A15KQ2ZZ701NMK:3OVR4I9USQ1J4NEMA6OQ3XFZV3I4QI,initialized
1531936417445,0,"[1024, 754]",2,A15KQ2ZZ701NMK:3OVR4I9USQ1J4NEMA6OQ3XFZV3I4QI,window_resize
1531936455579,38134,"[1280, 800]",3,A15KQ2ZZ701NMK:3OVR4I9USQ1J4NEMA6OQ3XFZV3I4QI,window_resize
1531938623614,0,,1,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,initialized
1531938623614,0,"[1024, 768]",2,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,window_resize
1531938641189,17575,off,3,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938674007,32818,on,4,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938675480,1473,"[1920, 1080]",5,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,window_resize
1531938732215,56735,"[1024, 768]",6,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,window_resize
1531938736516,4301,off,7,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938882170,145654,on,8,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938889339,7169,"[1920, 989]",9,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,window_resize
1531938928411,39072,"[1024, 768]",10,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,window_resize
1531938931933,3522,off,11,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938932679,746,on,12,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938933692,1013,off,13,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531938942885,9193,on,14,A15XX0WDRG29E7:3TR2532VIQCGXNENY4XW3UNRD0ZJ6W,focus
1531532376902,0,,1,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,initialized
1531532376902,0,"[1024, 768]",2,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,window_resize
1531532378542,1640,off,3,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,focus
1531532381169,2627,on,4,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,focus
1531532385334,4165,off,5,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,focus
1531532385679,345,on,6,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,focus
1531532392319,6640,"[1152, 773]",7,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,window_resize
1531532406492,14173,"[1152, 864]",8,A16KCYWNI9AA80:3X87C8JFV7T268GX07K810V56Z2SQN,window_resize
1532204433093,0,,1,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,initialized
1532204433093,0,"[1366, 678]",2,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,window_resize
1532204433841,748,on,3,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,focus
1532204481960,48119,"[1366, 768]",4,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,window_resize
1532204491456,9496,"[1366, 678]",5,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,window_resize
1532204491828,372,off,6,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,focus
1532204500931,9103,on,7,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,focus
1532204505808,4877,off,8,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,focus
1532204506684,876,on,9,A16VVUOYE2BK22:3H7XDTSHKD94003SHGPX4BUO91DWGQ,focus
1531520156700,0,,1,A1790ZUAAUYCJ:3II4UPYCOKPW4JXF3HPJ61955S7DQL,initialized
1531520156700,0,"[1024, 722]",2,A1790ZUAAUYCJ:3II4UPYCOKPW4JXF3HPJ61955S7DQL,window_resize
1531520189989,33289,"[1366, 768]",3,A1790ZUAAUYCJ:3II4UPYCOKPW4JXF3HPJ61955S7DQL,window_resize
1531520193238,3249,"[1024, 722]",4,A1790ZUAAUYCJ:3II4UPYCOKPW4JXF3HPJ61955S7DQL,window_resize
1531941572457,0,,1,A17PAE30BGBO1T:379J5II41PYQ5SV277S7VXSWYNWLEP,initialized
1531941572457,0,"[1008, 679]",2,A17PAE30BGBO1T:379J5II41PYQ5SV277S7VXSWYNWLEP,window_resize
1531941595002,22545,"[1920, 1200]",3,A17PAE30BGBO1T:379J5II41PYQ5SV277S7VXSWYNWLEP,window_resize
1531579575597,0,,1,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,initialized
1531579575597,0,"[1024, 768]",2,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,window_resize
1531579646436,70839,"[1920, 1080]",3,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,window_resize
1531580095308,448872,"[1024, 768]",4,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,window_resize
1531580096833,1525,off,5,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,focus
1531580113738,16905,on,6,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,focus
1531580118783,5045,off,7,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,focus
1531580120508,1725,on,8,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,focus
1531580120508,0,off,9,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,focus
1531580120510,2,on,10,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,focus
1531580121331,821,"[1920, 1080]",11,A1848YLP5S6RN6:3P59JYT76M2MTPRRNWZXFNTOTW02TB,window_resize
1532040625926,0,,1,A184EIWAV7P9EH:3EA3QWIZ4JDQ4A5TCZKP2305K4WTI2,initialized
1532040625926,0,"[1024, 768]",2,A184EIWAV7P9EH:3EA3QWIZ4JDQ4A5TCZKP2305K4WTI2,window_resize
1532040654263,28337,off,3,A184EIWAV7P9EH:3EA3QWIZ4JDQ4A5TCZKP2305K4WTI2,focus
1532040664976,10713,on,4,A184EIWAV7P9EH:3EA3QWIZ4JDQ4A5TCZKP2305K4WTI2,focus
1532040665380,404,"[1920, 1080]",5,A184EIWAV7P9EH:3EA3QWIZ4JDQ4A5TCZKP2305K4WTI2,window_resize
1532041398557,733177,"[1024, 768]",6,A184EIWAV7P9EH:3EA3QWIZ4JDQ4A5TCZKP2305K4WTI2,window_resize
1531689384808,0,,1,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,initialized
1531689384808,0,"[1024, 768]",2,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,window_resize
1531689415405,30597,"[1600, 900]",3,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,window_resize
1531690800734,1385329,off,4,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531690800886,152,on,5,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531690802277,1391,off,6,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531690859647,57370,on,7,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531691263894,404247,off,8,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531691284836,20942,on,9,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531691890005,605169,off,10,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531691892515,2510,on,11,A18QU0YQB6Q8DF:3PZDLQMM0U3578PG1A47QDTK5RNC2N,focus
1531839844713,0,,1,A18XFOKU5G1OL1:3KJYX6QCMAT1CDTOZC54FM3QT25JVJ,initialized
1531839844713,0,"[1024, 768]",2,A18XFOKU5G1OL1:3KJYX6QCMAT1CDTOZC54FM3QT25JVJ,window_resize
1531839871041,26328,"[1366, 768]",3,A18XFOKU5G1OL1:3KJYX6QCMAT1CDTOZC54FM3QT25JVJ,window_resize
1531840110406,239365,off,4,A18XFOKU5G1OL1:3KJYX6QCMAT1CDTOZC54FM3QT25JVJ,focus
1531840176219,65813,on,5,A18XFOKU5G1OL1:3KJYX6QCMAT1CDTOZC54FM3QT25JVJ,focus
1531839119887,0,,1,A199ECPSCLODO6:384PI804XTJEIFBYJ9QTMU4NVP60SP,initialized
1531839119887,0,"[1024, 768]",2,A199ECPSCLODO6:384PI804XTJEIFBYJ9QTMU4NVP60SP,window_resize
1531839145593,25706,off,3,A199ECPSCLODO6:384PI804XTJEIFBYJ9QTMU4NVP60SP,focus
1531839171593,26000,on,4,A199ECPSCLODO6:384PI804XTJEIFBYJ9QTMU4NVP60SP,focus
1531839173128,1535,"[1600, 900]",5,A199ECPSCLODO6:384PI804XTJEIFBYJ9QTMU4NVP60SP,window_resize
1532207786720,0,,1,A19G8ONKY3FQNM:3TE3O85731Q9DAEZJ7U2F8S673D2RU,initialized
1532207786720,0,"[1024, 768]",2,A19G8ONKY3FQNM:3TE3O85731Q9DAEZJ7U2F8S673D2RU,window_resize
1532207824515,37795,"[1600, 900]",3,A19G8ONKY3FQNM:3TE3O85731Q9DAEZJ7U2F8S673D2RU,window_resize
1532023659197,0,,1,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,initialized
1532023659198,1,"[1360, 677]",2,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,window_resize
1532023670382,11184,off,3,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,focus
1532023670520,138,on,4,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,focus
1532023705741,35221,"[1360, 768]",5,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,window_resize
1532024796786,1091045,off,6,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,focus
1532024805060,8274,on,7,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,focus
1532024815881,10821,"[1360, 677]",8,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,window_resize
1532025274423,458542,off,9,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,focus
1532025278456,4033,on,10,A1A1FB3IFEHJ5W:326O153BMJG77G7AUQUJCKKRPNXDEM,focus
1531584511425,0,,1,A1AA0WXXEHPM3V:3WEV0KO0ONA8HZCSVLEO11O6O5ASDM,initialized
1531584511425,0,"[1366, 677]",2,A1AA0WXXEHPM3V:3WEV0KO0ONA8HZCSVLEO11O6O5ASDM,window_resize
1531584544886,33461,"[1366, 768]",3,A1AA0WXXEHPM3V:3WEV0KO0ONA8HZCSVLEO11O6O5ASDM,window_resize
1531504871737,0,,1,A1B5KIQ8JLR2F7:3IHR8NYAM8JY4BD7AT913SPPNBMP47,initialized
1531504871737,0,"[1680, 960]",2,A1B5KIQ8JLR2F7:3IHR8NYAM8JY4BD7AT913SPPNBMP47,window_resize
1531504893899,22162,"[1680, 1050]",3,A1B5KIQ8JLR2F7:3IHR8NYAM8JY4BD7AT913SPPNBMP47,window_resize
1531948076502,0,,1,A1B9H14AV44C0G:3BEFOD78W7BSJ8GUIDH9MOVUL33M4X,initialized
