timestamp,interval,value,eventnum,uniqueid,eventtype
1531842123496,0,,1,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,initialized
1531842123496,0,"[1024, 713]",2,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842140526,17030,"[1024, 697]",3,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842141643,1117,"[1024, 582]",4,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842150468,8825,"[1024, 627]",5,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842151168,700,"[1013, 578]",6,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842151741,573,"[1024, 565]",7,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842159535,7794,"[1024, 630]",8,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842181263,21728,"[1366, 768]",9,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842185840,4577,"[1024, 630]",10,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531842919321,733481,off,11,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,focus
1531842936491,17170,on,12,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,focus
1531842959829,23338,"[1366, 677]",13,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531843055653,95824,"[1024, 630]",14,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531843058717,3064,"[1030, 630]",15,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531843059255,538,"[976, 630]",16,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531843060095,840,off,17,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,focus
1531843089635,29540,on,18,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,focus
1531843095574,5939,"[976, 648]",19,A10CQS8GH2W418:3ATTHHXXWB6XLREDH9LMR6LBWY1IXM,window_resize
1531986525970,0,,1,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,initialized
1531986525970,0,"[1366, 678]",2,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,window_resize
1531986591115,65145,"[1366, 768]",3,A10T81KGJV05UD:3WMOAN2SRCFXV3K9EAXW8TK73DZNVZ,window_resize
1532018435188,0,,1,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,initialized
1532018435188,0,"[1024, 768]",2,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532018444630,9442,off,3,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532018450896,6266,on,4,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
1532018458683,7787,"[1920, 1080]",5,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532018755123,296440,"[1024, 768]",6,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,window_resize
1532018772049,16926,off,7,A114INA2S32A8L:32EYX73OY1RIXMN12R48LRNYQB1UR7,focus
