Subject,Trial,Type,Stimulus,Eye,Location,Response,RT,Acc,stimTime,Block
1,115,static conscious control,f42887_e_142,NA,9,1,0.423057078,1,0,1
1,116,static conscious control,f42887_e_269,NA,10,2,0.650150392,1,0,1
1,117,static conscious control,f42887_e_052,NA,10,2,0.641587822,1,0,1
1,118,static conscious control,f42887_e_186,NA,9,1,0.513118171,1,0,1
1,119,static conscious control,f42887_e_078,NA,10,2,0.449845783,1,0,1
1,120,static conscious control,f42887_e_168,NA,10,2,0.836801727,1,0,1
1,121,static conscious control,f42887_e_025,NA,10,2,0.4854213,1,0,1
1,122,static conscious control,f42887_e_162,NA,10,2,0.47824897,1,0,1
1,123,static conscious control,f42887_e_066,NA,9,1,0.452049328,1,0,1
1,124,static conscious control,f42887_e_161,NA,9,1,0.47754763,1,0,1
1,125,static conscious control,f42887_e_271,NA,9,1,0.419438723,1,0,1
1,126,static conscious control,f42887_e_113,NA,9,1,0.492314338,1,0,1
1,127,static conscious control,f42887_e_056,NA,10,2,0.467037169,1,0,1
1,128,static conscious control,f42887_e_267,NA,10,2,0.480871453,1,0,1
1,129,static conscious control,f42887_e_292,NA,9,1,0.571091786,1,0,1
1,130,static conscious control,f42887_e_148,NA,10,2,0.561106009,1,0,1
1,131,static conscious control,f42887_e_104,NA,9,1,0.455940133,1,0,1
1,132,static conscious control,f42887_e_119,NA,10,2,0.499304414,1,0,1
1,133,static conscious control,f42887_e_075,NA,10,2,0.602574649,1,0,1
1,134,static conscious control,f42887_e_235,NA,10,2,0.467836479,1,0,1
1,135,static conscious control,f42887_e_140,NA,9,1,0.901498877,1,0,1
1,136,static conscious control,f42887_e_155,NA,9,1,0.681502628,1,0,1
1,137,static conscious control,f42887_e_017,NA,10,2,0.467598863,1,0,1
1,138,static conscious control,f42887_e_112,NA,10,2,0.541194791,1,0,1
1,139,static conscious control,f42887_e_005,NA,10,2,0.612101367,1,0,1
1,140,static conscious control,f42887_e_275,NA,10,2,0.538650062,1,0,1
1,141,static conscious control,f42887_e_287,NA,9,1,0.43648051,1,0,1
1,142,static conscious control,f42887_e_046,NA,10,2,0.713614054,1,0,1
1,143,static conscious control,f42887_e_174,NA,9,1,0.568627299,1,0,1
1,144,static conscious control,f42887_e_191,NA,9,2,0.414937705,0,0,1
1,145,static conscious control,f42887_e_236,NA,10,2,0.645680787,1,0,1
1,146,static conscious control,f42887_e_286,NA,9,1,0.551326124,1,0,1
1,147,static conscious control,f42887_e_090,NA,10,2,0.769416158,1,0,1
1,148,static conscious control,f42887_e_097,NA,10,2,0.490016555,1,0,1
1,149,static conscious control,f42887_e_207,NA,9,1,0.785611051,1,0,1
1,150,static conscious control,f42887_e_264,NA,10,2,0.419505902,1,0,1
1,151,static conscious control,f42887_e_084,NA,10,2,0.548779217,1,0,1
1,152,static conscious control,f42887_e_234,NA,9,1,0.640841384,1,0,1
1,153,static conscious control,f42887_e_199,NA,9,1,0.6428154,1,0,1
1,154,static conscious control,f42887_e_277,NA,9,1,0.644152456,1,0,1
1,155,static conscious control,f42887_e_227,NA,9,1,0.728524452,1,0,1
1,156,static conscious control,f42887_e_002,NA,9,1,1.148734804,1,0,1
1,157,static conscious control,f42887_e_131,NA,10,2,0.500730109,1,0,1
1,158,static conscious control,f42887_e_061,NA,9,1,0.493018478,1,0,1
1,159,static conscious control,f42887_e_054,NA,9,1,0.635216978,1,0,1
1,160,static conscious control,f42887_e_016,NA,9,1,0.460575198,1,0,1
1,161,static conscious control,f42887_e_163,NA,9,1,0.59127763,1,0,1
1,162,static conscious control,f42887_e_034,NA,10,2,0.6642677,1,0,1
1,163,static conscious control,f42887_e_192,NA,9,1,0.405512378,1,0,1
1,164,static conscious control,f42887_e_136,NA,9,1,0.581985418,1,0,1
1,165,static conscious control,f42887_e_211,NA,9,1,0.559067924,1,0,1
1,166,static conscious control,f42887_e_137,NA,9,1,2.970222124,1,0,1
1,167,static conscious control,f42887_e_065,NA,10,2,0.562202028,1,0,1
1,168,static conscious control,f42887_e_258,NA,10,2,0.662265693,1,0,1
1,169,static conscious control,f42887_e_153,NA,10,2,0.759729889,1,0,1
1,170,static conscious control,f42887_e_224,NA,9,1,0.891330845,1,0,1
1,171,static conscious control,f42887_e_107,NA,10,2,0.414671165,1,0,1
1,172,static conscious control,f42887_e_209,NA,10,2,0.586343057,1,0,1
1,173,static conscious control,f42887_e_082,NA,10,2,0.447540535,1,0,1
1,174,static conscious control,f42887_e_261,NA,9,1,0.442539405,1,0,1
1,175,static conscious control,f42887_e_089,NA,9,1,0.382231929,1,0,1
1,176,static conscious control,f42887_e_167,NA,10,2,0.598606401,1,0,1
1,177,static conscious control,f42887_e_187,NA,10,2,0.552112371,1,0,1
1,178,static conscious control,f42887_e_248,NA,10,2,0.724456057,1,0,1
1,179,static conscious control,f42887_e_111,NA,10,2,0.565724279,1,0,1
1,180,static conscious control,f42887_e_299,NA,10,2,0.477389945,1,0,1
1,181,static conscious control,f42887_e_035,NA,9,1,0.69107009,1,0,1
1,182,static conscious control,f42887_e_232,NA,10,2,0.740834449,1,0,1
1,183,static conscious control,f42887_e_036,NA,10,2,0.510527722,1,0,1
1,184,static conscious control,f42887_e_185,NA,10,2,0.550120938,1,0,1
1,185,static conscious control,f42887_e_060,NA,9,1,0.618562094,1,0,1
1,186,static conscious control,f42887_e_118,NA,10,2,0.57169018,1,0,1
1,187,static conscious control,f42887_e_206,NA,9,1,2.632072922,1,0,1
1,188,static conscious control,f42887_e_103,NA,10,2,0.520715348,1,0,1
1,189,static conscious control,f42887_e_024,NA,10,2,1.156051757,1,0,1
1,190,static conscious control,f42887_e_086,NA,10,2,0.691362755,1,0,1
1,191,static conscious control,f42887_e_101,NA,9,1,0.797064511,1,0,1
1,192,static conscious control,f42887_e_291,NA,9,1,0.808327629,1,0,1
1,193,static conscious control,f42887_e_042,NA,9,1,0.560452254,1,0,1
1,194,static conscious control,f42887_e_219,NA,10,2,0.544306502,1,0,1
1,195,static conscious control,f42887_e_106,NA,10,2,0.986052195,1,0,1
1,196,static conscious control,f42887_e_122,NA,10,2,1.265674797,1,0,1
1,197,static conscious control,f42887_e_160,NA,9,1,0.579213336,1,0,1
1,198,static conscious control,f42887_e_079,NA,9,1,0.72751334,1,0,1
1,199,static conscious control,f42887_e_281,NA,10,2,0.666817095,1,0,1
1,200,static conscious control,f42887_e_262,NA,9,1,0.419811941,1,0,1
1,201,static conscious control,f42887_e_223,NA,10,2,0.798810552,1,0,1
1,202,static conscious control,f42887_e_217,NA,9,1,0.437895631,1,0,1
1,203,static conscious control,f42887_e_182,NA,9,1,0.539868621,1,0,1
1,204,static conscious control,f42887_e_282,NA,9,1,0.512030549,1,0,1
1,205,static conscious control,f42887_e_212,NA,10,2,0.60799534,1,0,1
1,206,static conscious control,f42887_e_117,NA,9,1,0.61971534,1,0,1
1,207,static conscious control,f42887_e_208,NA,10,2,0.516039851,1,0,1
1,208,static conscious control,f42887_e_068,NA,10,2,0.611304857,1,0,1
1,209,static conscious control,f42887_e_038,NA,10,2,0.462181594,1,0,1
1,210,static conscious control,f42887_e_030,NA,9,1,0.687503985,1,0,1
1,211,static conscious control,f42887_e_003,NA,9,1,0.602976481,1,0,1
1,212,static conscious control,f42887_e_057,NA,10,2,0.634659017,1,0,1
1,213,static conscious control,f42887_e_033,NA,9,1,0.452151652,1,0,1
1,214,static conscious control,f42887_e_263,NA,10,2,3.478074179,1,0,1
1,215,static conscious control,f42887_e_184,NA,9,1,0.503621621,1,0,1
1,216,static conscious control,f42887_e_092,NA,9,1,0.574747774,1,0,1
1,217,static conscious control,f42887_e_164,NA,9,1,0.440781545,1,0,1
1,218,static conscious control,f42887_e_049,NA,9,1,0.466012062,1,0,1
1,219,static conscious control,f42887_e_064,NA,9,1,0.521030096,1,0,1
1,220,static conscious control,f42887_e_283,NA,10,2,0.510563178,1,0,1
1,221,static conscious control,f42887_e_045,NA,10,2,0.456697456,1,0,1
1,222,static conscious control,f42887_e_008,NA,9,1,0.564093935,1,0,1
1,223,static conscious control,f42887_e_001,NA,9,1,0.59701649,1,0,1
1,224,static conscious control,f42887_e_018,NA,10,2,0.544989803,1,0,1
1,225,static conscious control,f42887_e_048,NA,9,1,0.620515272,1,0,1
1,226,static conscious control,f42887_e_147,NA,10,2,0.47954435,1,0,1
1,227,static conscious control,f42887_e_198,NA,10,2,0.599796347,1,0,1
1,228,static conscious control,f42887_e_237,NA,10,2,0.551568405,1,0,1
1,229,static conscious control,f42887_e_216,NA,9,1,0.614767082,1,0,1
1,230,static conscious control,f42887_e_179,NA,9,1,0.678499773,1,0,1
1,231,static conscious control,f42887_e_238,NA,9,1,0.638431947,1,0,1
1,232,static conscious control,f42887_e_114,NA,10,2,0.639529209,1,0,1
1,233,static conscious control,f42887_e_021,NA,9,1,0.477697539,1,0,1
1,234,static conscious control,f42887_e_298,NA,10,2,0.37188133,1,0,1
1,235,static conscious control,f42887_e_029,NA,10,2,0.643209146,1,0,1
1,236,static conscious control,f42887_e_100,NA,10,2,0.856912306,1,0,1
1,237,static conscious control,f42887_e_201,NA,10,2,0.43867628,1,0,1
1,238,static conscious control,f42887_e_246,NA,9,1,0.57404208,1,0,1
1,239,static conscious control,f42887_e_055,NA,10,2,0.421233283,1,0,1
1,240,static conscious control,f42887_e_014,NA,9,1,0.750534092,1,0,1
1,241,static conscious control,f42887_e_173,NA,9,1,0.603046149,1,0,1
1,242,static conscious control,f42887_e_222,NA,9,1,0.628046825,1,0,1
1,243,static conscious control,f42887_e_110,NA,10,2,0.644881166,1,0,1
1,244,static conscious control,f42887_e_134,NA,9,1,0.591563454,1,0,1
1,245,static conscious control,f42887_e_231,NA,10,2,0.597802426,1,0,1
1,246,static conscious control,f42887_e_171,NA,9,1,0.602921121,1,0,1
1,247,static conscious control,f42887_e_189,NA,10,2,0.396596805,1,0,1
1,248,static conscious control,f42887_e_265,NA,10,2,0.59640721,1,0,1
1,249,static conscious control,f42887_e_218,NA,9,1,0.610066081,1,0,1
1,250,static conscious control,f42887_e_245,NA,10,2,0.691777028,1,0,1
1,251,static conscious control,f42887_e_254,NA,9,1,0.418774704,1,0,1
1,252,static conscious control,f42887_e_098,NA,10,2,0.596036791,1,0,1
1,253,static conscious control,f42887_e_250,NA,10,2,0.651526636,1,0,1
1,254,static conscious control,f42887_e_158,NA,10,2,0.479302691,1,0,1
1,255,static conscious control,f42887_e_105,NA,9,1,0.408759692,1,0,1
1,256,static conscious control,f42887_e_073,NA,9,1,0.31508833,1,0,1
1,257,static conscious control,f42887_e_205,NA,10,2,0.503001456,1,0,1
1,258,static conscious control,f42887_e_180,NA,10,2,0.556807151,1,0,1
1,259,static conscious control,f42887_e_141,NA,9,1,0.451656827,1,0,1
1,260,static conscious control,f42887_e_000,NA,10,1,0.350777368,0,0,1
1,261,static conscious control,f42887_e_230,NA,10,2,0.612309748,1,0,1
1,262,static conscious control,f42887_e_130,NA,10,2,0.595305904,1,0,1
1,263,static conscious control,f42887_e_159,NA,10,2,0.451539574,1,0,1
1,264,static conscious control,f42887_e_093,NA,9,1,0.891455251,1,0,1
1,265,static conscious control,f42887_e_226,NA,10,2,0.675623501,1,0,1
1,266,static conscious control,f42887_e_157,NA,10,2,0.454111051,1,0,1
1,267,static conscious control,f42887_e_126,NA,9,1,0.572209576,1,0,1
1,268,static conscious control,f42887_e_278,NA,10,2,0.414919044,1,0,1
1,269,static conscious control,f42887_e_293,NA,9,1,0.403283018,1,0,1
1,270,static conscious control,f42887_e_259,NA,10,2,0.327414499,1,0,1
1,271,static conscious control,f42887_e_109,NA,10,2,0.830140707,1,0,1
1,272,static conscious control,f42887_e_123,NA,10,2,0.621527317,1,0,1
1,273,static conscious control,f42887_e_272,NA,10,2,0.462517491,1,0,1
1,274,static conscious control,f42887_e_146,NA,10,2,0.41458999,1,0,1
1,275,static conscious control,f42887_e_175,NA,9,2,0.388726556,0,0,1
1,276,static conscious control,f42887_e_006,NA,9,1,0.59598765,1,0,1
1,277,static conscious control,f42887_e_229,NA,9,1,0.492300965,1,0,1
1,278,static conscious control,f42887_e_268,NA,9,1,0.569878514,1,0,1
1,279,static conscious control,f42887_e_007,NA,9,1,0.420665057,1,0,1
1,280,static conscious control,f42887_e_050,NA,10,2,0.605488554,1,0,1
1,281,static conscious control,f42887_e_152,NA,10,2,0.591165043,1,0,1
1,282,static conscious control,f42887_e_195,NA,10,2,0.46418018,1,0,1
1,283,static conscious control,f42887_e_295,NA,10,2,0.431735346,1,0,1
1,284,static conscious control,f42887_e_058,NA,10,2,0.321661333,1,0,1
1,285,static conscious control,f42887_e_210,NA,9,1,0.555868195,1,0,1
1,286,static conscious control,f42887_e_081,NA,9,1,0.382662063,1,0,1
1,287,static conscious control,f42887_e_027,NA,10,1,0.261179377,0,0,1
1,288,static conscious control,f42887_e_288,NA,9,1,0.674329365,1,0,1
1,289,static conscious control,f42887_e_172,NA,10,2,0.556678702,1,0,1
1,290,static conscious control,f42887_e_239,NA,10,2,0.383747508,1,0,1
1,291,static conscious control,f42887_e_047,NA,9,1,0.513207432,1,0,1
1,292,static conscious control,f42887_e_015,NA,10,2,0.438280358,1,0,1
1,293,static conscious control,f42887_e_243,NA,10,2,0.726848389,1,0,1
1,294,static conscious control,f42887_e_255,NA,9,1,0.406128811,1,0,1
1,295,static conscious control,f42887_e_011,NA,9,1,0.513278655,1,0,1
1,296,static conscious control,f42887_e_144,NA,9,1,0.45544904,1,0,1
1,297,static conscious control,f42887_e_115,NA,9,1,0.492576836,1,0,1
1,298,static conscious control,f42887_e_233,NA,9,1,0.532472048,1,0,1
1,299,static conscious control,f42887_e_067,NA,9,1,0.442485288,1,0,1
1,300,static conscious control,f42887_e_244,NA,10,2,0.572779046,1,0,1
1,301,static conscious control,f42887_e_055,NA,10,2,0.713735039,1,0,2
1,302,static conscious control,f42887_e_027,NA,10,2,0.568942357,1,0,2
1,303,static conscious control,f42887_e_128,NA,10,2,0.450152444,1,0,2
1,304,static conscious control,f42887_e_154,NA,9,1,0.51593535,1,0,2
1,305,static conscious control,f42887_e_023,NA,10,2,0.455830967,1,0,2
1,306,static conscious control,f42887_e_135,NA,9,1,0.526171184,1,0,2
1,307,static conscious control,f42887_e_041,NA,9,1,0.597493277,1,0,2
1,308,static conscious control,f42887_e_013,NA,9,1,0.595143865,1,0,2
1,309,static conscious control,f42887_e_057,NA,10,2,0.587603914,1,0,2
1,310,static conscious control,f42887_e_072,NA,10,2,0.955993472,1,0,2
1,311,static conscious control,f42887_e_033,NA,9,1,0.369220903,1,0,2
1,312,static conscious control,f42887_e_115,NA,9,1,0.614817467,1,0,2
1,313,static conscious control,f42887_e_075,NA,10,2,0.584182121,1,0,2
1,314,static conscious control,f42887_e_042,NA,9,1,0.643273215,1,0,2
1,315,static conscious control,f42887_e_275,NA,10,2,0.466350447,1,0,2
1,316,static conscious control,f42887_e_232,NA,10,2,0.591539505,1,0,2
1,317,static conscious control,f42887_e_078,NA,10,2,0.525313092,1,0,2
1,318,static conscious control,f42887_e_034,NA,10,2,0.45439252,1,0,2
1,319,static conscious control,f42887_e_123,NA,10,2,0.420983848,1,0,2
1,320,static conscious control,f42887_e_196,NA,9,1,0.588708331,1,0,2
1,321,static conscious control,f42887_e_299,NA,10,1,0.353637156,0,0,2
1,322,static conscious control,f42887_e_193,NA,9,1,0.852143193,1,0,2
1,323,static conscious control,f42887_e_086,NA,10,2,0.468425854,1,0,2
1,324,static conscious control,f42887_e_244,NA,10,2,0.499012059,1,0,2
1,325,static conscious control,f42887_e_278,NA,10,2,0.720773633,1,0,2
1,326,static conscious control,f42887_e_217,NA,9,1,0.652632918,1,0,2
1,327,static conscious control,f42887_e_032,NA,9,1,0.673401916,1,0,2
1,328,static conscious control,f42887_e_284,NA,9,1,0.444278293,1,0,2
1,329,static conscious control,f42887_e_020,NA,10,2,0.740561999,1,0,2
1,330,static conscious control,f42887_e_096,NA,10,2,1.17210607,1,0,2
1,331,static conscious control,f42887_e_007,NA,9,1,0.661705553,1,0,2
1,332,static conscious control,f42887_e_185,NA,10,2,0.682487926,1,0,2
1,333,static conscious control,f42887_e_238,NA,9,1,0.450065049,1,0,2
1,334,static conscious control,f42887_e_069,NA,10,2,1.332483742,1,0,2
1,335,static conscious control,f42887_e_260,NA,9,1,0.535573496,1,0,2
1,336,static conscious control,f42887_e_089,NA,9,1,0.549322561,1,0,2
1,337,static conscious control,f42887_e_210,NA,9,1,0.608738667,1,0,2
1,338,static conscious control,f42887_e_190,NA,10,2,0.575876761,1,0,2
1,339,static conscious control,f42887_e_249,NA,9,1,0.99126886,1,0,2
1,340,static conscious control,f42887_e_068,NA,10,2,0.501960487,1,0,2
1,341,static conscious control,f42887_e_130,NA,10,2,0.591230667,1,0,2
1,342,static conscious control,f42887_e_194,NA,10,2,0.357682847,1,0,2
1,343,static conscious control,f42887_e_202,NA,9,1,0.651459456,1,0,2
1,344,static conscious control,f42887_e_001,NA,9,1,0.796388363,1,0,2
1,345,static conscious control,f42887_e_059,NA,10,2,0.525584919,1,0,2
1,346,static conscious control,f42887_e_118,NA,10,2,0.657698118,1,0,2
1,347,static conscious control,f42887_e_177,NA,10,2,0.51317011,1,0,2
1,348,static conscious control,f42887_e_264,NA,10,2,0.473719961,1,0,2
1,349,static conscious control,f42887_e_048,NA,9,1,0.678704732,1,0,2
1,350,static conscious control,f42887_e_028,NA,10,2,0.462560411,1,0,2
1,351,static conscious control,f42887_e_163,NA,9,1,0.540073891,1,0,2
1,352,static conscious control,f42887_e_129,NA,10,2,0.418666782,1,0,2
1,353,static conscious control,f42887_e_035,NA,9,1,0.680469434,1,0,2
1,354,static conscious control,f42887_e_133,NA,10,2,0.65306834,1,0,2
1,355,static conscious control,f42887_e_224,NA,9,1,0.455576245,1,0,2
1,356,static conscious control,f42887_e_080,NA,9,1,0.561251253,1,0,2
1,357,static conscious control,f42887_e_100,NA,10,2,0.515324515,1,0,2
1,358,static conscious control,f42887_e_248,NA,10,2,0.575234203,1,0,2
1,359,static conscious control,f42887_e_095,NA,10,2,0.549564532,1,0,2
1,360,static conscious control,f42887_e_113,NA,9,1,0.725402166,1,0,2
1,361,static conscious control,f42887_e_240,NA,10,2,0.885336331,1,0,2
1,362,static conscious control,f42887_e_120,NA,9,1,0.4264232,1,0,2
1,363,static conscious control,f42887_e_271,NA,9,1,0.654493413,1,0,2
1,364,static conscious control,f42887_e_004,NA,10,2,0.515195133,1,0,2
1,365,static conscious control,f42887_e_254,NA,9,1,0.823185154,1,0,2
1,366,static conscious control,f42887_e_076,NA,10,2,0.505228949,1,0,2
1,367,static conscious control,f42887_e_022,NA,10,2,0.549324428,1,0,2
1,368,static conscious control,f42887_e_000,NA,10,2,0.632235894,1,0,2
1,369,static conscious control,f42887_e_102,NA,10,2,0.583850267,1,0,2
1,370,static conscious control,f42887_e_253,NA,9,1,0.575939586,1,0,2
1,371,static conscious control,f42887_e_044,NA,9,1,0.579405232,1,0,2
1,372,static conscious control,f42887_e_039,NA,10,2,0.480544576,1,0,2
1,373,static conscious control,f42887_e_252,NA,9,1,0.467722959,1,0,2
1,374,static conscious control,f42887_e_038,NA,10,2,0.409453567,1,0,2
1,375,static conscious control,f42887_e_101,NA,9,1,0.522184275,1,0,2
1,376,static conscious control,f42887_e_152,NA,10,2,0.470190867,1,0,2
