Subject,Trial,Type,Stimulus,Eye,Location,Response,RT,Acc,stimTime,Block
1,1,static conscious control,f42887_e_053,NA,10,2,5.09080131,1,0,1
1,2,static conscious control,f42887_e_072,NA,10,2,2.032821163,1,0,1
1,3,static conscious control,f42887_e_120,NA,9,1,0.824728102,1,0,1
1,4,static conscious control,f42887_e_044,NA,9,1,0.928443712,1,0,1
1,5,static conscious control,f42887_e_285,NA,10,2,0.5968389,1,0,1
1,6,static conscious control,f42887_e_059,NA,10,2,0.537037757,1,0,1
1,7,static conscious control,f42887_e_253,NA,9,1,0.414736478,1,0,1
1,8,static conscious control,f42887_e_074,NA,10,2,2.22183995,1,0,1
1,9,static conscious control,f42887_e_193,NA,9,1,0.536094758,1,0,1
1,10,static conscious control,f42887_e_289,NA,9,1,0.513785921,1,0,1
1,11,static conscious control,f42887_e_041,NA,9,1,0.64147399,1,0,1
1,12,static conscious control,f42887_e_215,NA,9,1,0.455700962,1,0,1
1,13,static conscious control,f42887_e_040,NA,9,1,0.420079415,1,0,1
1,14,static conscious control,f42887_e_143,NA,10,2,0.63179052,1,0,1
1,15,static conscious control,f42887_e_280,NA,10,2,0.655212481,1,0,1
1,16,static conscious control,f42887_e_032,NA,9,1,0.539573778,1,0,1
1,17,static conscious control,f42887_e_076,NA,10,2,0.422232576,1,0,1
1,18,static conscious control,f42887_e_116,NA,10,1,0.485183373,0,0,1
1,19,static conscious control,f42887_e_077,NA,10,2,0.839086137,1,0,1
1,20,static conscious control,f42887_e_166,NA,10,2,0.555822476,1,0,1
1,21,static conscious control,f42887_e_169,NA,9,1,0.540452086,1,0,1
1,22,static conscious control,f42887_e_127,NA,9,1,0.820131914,1,0,1
1,23,static conscious control,f42887_e_013,NA,9,1,0.538541828,1,0,1
1,24,static conscious control,f42887_e_094,NA,9,1,0.456938182,1,0,1
1,25,static conscious control,f42887_e_099,NA,9,1,0.532304722,1,0,1
1,26,static conscious control,f42887_e_080,NA,9,1,0.407083007,1,0,1
1,27,static conscious control,f42887_e_037,NA,10,2,0.680472234,1,0,1
1,28,static conscious control,f42887_e_257,NA,9,1,0.649799255,1,0,1
1,29,static conscious control,f42887_e_138,NA,9,1,0.729031096,1,0,1
1,30,static conscious control,f42887_e_274,NA,9,1,0.528709071,1,0,1
1,31,static conscious control,f42887_e_083,NA,9,1,0.603002607,1,0,1
1,32,static conscious control,f42887_e_019,NA,10,2,0.772737494,1,0,1
1,33,static conscious control,f42887_e_194,NA,10,2,0.563526332,1,0,1
1,34,static conscious control,f42887_e_290,NA,10,2,1.437949437,1,0,1
1,35,static conscious control,f42887_e_240,NA,10,2,0.419786749,1,0,1
1,36,static conscious control,f42887_e_043,NA,10,2,0.43352524,1,0,1
1,37,static conscious control,f42887_e_085,NA,9,1,0.779977004,1,0,1
1,38,static conscious control,f42887_e_197,NA,10,2,0.762326247,1,0,1
1,39,static conscious control,f42887_e_070,NA,10,2,0.701077949,1,0,1
1,40,static conscious control,f42887_e_063,NA,10,2,0.461795935,1,0,1
1,41,static conscious control,f42887_e_108,NA,10,2,0.405141025,1,0,1
1,42,static conscious control,f42887_e_150,NA,10,2,0.514211701,1,0,1
1,43,static conscious control,f42887_e_135,NA,9,1,0.794355876,1,0,1
1,44,static conscious control,f42887_e_004,NA,10,2,0.7376285,1,0,1
1,45,static conscious control,f42887_e_251,NA,9,1,0.527060377,1,0,1
1,46,static conscious control,f42887_e_145,NA,9,1,0.525786457,1,0,1
1,47,static conscious control,f42887_e_165,NA,10,2,0.534393191,1,0,1
1,48,static conscious control,f42887_e_039,NA,10,2,0.496950026,1,0,1
1,49,static conscious control,f42887_e_069,NA,10,2,0.526155011,1,0,1
1,50,static conscious control,f42887_e_026,NA,10,2,0.508772972,1,0,1
1,51,static conscious control,f42887_e_151,NA,10,2,0.43185291,1,0,1
1,52,static conscious control,f42887_e_176,NA,9,1,0.621755602,1,0,1
1,53,static conscious control,f42887_e_124,NA,9,1,0.60751762,1,0,1
1,54,static conscious control,f42887_e_228,NA,10,2,0.537858216,1,0,1
1,55,static conscious control,f42887_e_139,NA,10,2,0.476485823,1,0,1
1,56,static conscious control,f42887_e_023,NA,10,2,0.473314397,1,0,1
1,57,static conscious control,f42887_e_009,NA,9,2,0.367782767,0,0,1
1,58,static conscious control,f42887_e_132,NA,9,1,0.803392123,1,0,1
1,59,static conscious control,f42887_e_188,NA,10,2,0.656535541,1,0,1
1,60,static conscious control,f42887_e_296,NA,9,1,0.839256262,1,0,1
1,61,static conscious control,f42887_e_284,NA,9,1,0.533640845,1,0,1
1,62,static conscious control,f42887_e_266,NA,10,2,0.634353599,1,0,1
1,63,static conscious control,f42887_e_181,NA,9,1,1.16771142,1,0,1
1,64,static conscious control,f42887_e_249,NA,9,1,0.673561467,1,0,1
1,65,static conscious control,f42887_e_128,NA,10,2,0.426491934,1,0,1
1,66,static conscious control,f42887_e_020,NA,10,2,0.679278867,1,0,1
1,67,static conscious control,f42887_e_022,NA,10,2,0.574070693,1,0,1
1,68,static conscious control,f42887_e_270,NA,9,1,0.615085873,1,0,1
1,69,static conscious control,f42887_e_214,NA,10,2,0.498037647,1,0,1
1,70,static conscious control,f42887_e_200,NA,9,1,0.546420786,1,0,1
1,71,static conscious control,f42887_e_088,NA,9,1,0.798167683,1,0,1
1,72,static conscious control,f42887_e_196,NA,9,1,0.546347386,1,0,1
1,73,static conscious control,f42887_e_203,NA,10,2,0.397087899,1,0,1
1,74,static conscious control,f42887_e_170,NA,9,1,0.454425798,1,0,1
1,75,static conscious control,f42887_e_190,NA,10,2,0.388176369,1,0,1
1,76,static conscious control,f42887_e_121,NA,9,1,0.43095563,1,0,1
1,77,static conscious control,f42887_e_071,NA,9,2,0.394391394,0,0,1
1,78,static conscious control,f42887_e_012,NA,10,2,0.45453652,1,0,1
1,79,static conscious control,f42887_e_294,NA,9,1,0.676518915,1,0,1
1,80,static conscious control,f42887_e_129,NA,10,2,0.402887095,1,0,1
1,81,static conscious control,f42887_e_241,NA,10,2,0.525198638,1,0,1
1,82,static conscious control,f42887_e_202,NA,9,1,0.686133028,1,0,1
1,83,static conscious control,f42887_e_260,NA,9,1,0.583624159,1,0,1
1,84,static conscious control,f42887_e_154,NA,9,1,0.539812949,1,0,1
1,85,static conscious control,f42887_e_221,NA,10,2,0.551849563,1,0,1
1,86,static conscious control,f42887_e_087,NA,9,1,0.547997635,1,0,1
1,87,static conscious control,f42887_e_028,NA,10,2,0.44471527,1,0,1
1,88,static conscious control,f42887_e_051,NA,10,2,1.348994316,1,0,1
1,89,static conscious control,f42887_e_247,NA,9,1,0.727256441,1,0,1
1,90,static conscious control,f42887_e_213,NA,10,2,0.407645012,1,0,1
1,91,static conscious control,f42887_e_242,NA,9,1,0.751698845,1,0,1
1,92,static conscious control,f42887_e_297,NA,10,2,0.461535304,1,0,1
1,93,static conscious control,f42887_e_279,NA,10,2,0.64454247,1,0,1
1,94,static conscious control,f42887_e_256,NA,9,1,0.720499317,1,0,1
1,95,static conscious control,f42887_e_133,NA,10,2,0.434069207,1,0,1
1,96,static conscious control,f42887_e_183,NA,9,1,0.767700596,1,0,1
1,97,static conscious control,f42887_e_252,NA,9,1,0.720785451,1,0,1
1,98,static conscious control,f42887_e_177,NA,10,2,0.453714817,1,0,1
1,99,static conscious control,f42887_e_225,NA,9,1,0.699591916,1,0,1
1,100,static conscious control,f42887_e_156,NA,9,1,0.537993508,1,0,1
1,101,static conscious control,f42887_e_091,NA,9,1,0.853345268,1,0,1
1,102,static conscious control,f42887_e_031,NA,9,1,0.722712504,1,0,1
1,103,static conscious control,f42887_e_095,NA,10,2,0.760938185,1,0,1
1,104,static conscious control,f42887_e_102,NA,10,2,0.704018912,1,0,1
1,105,static conscious control,f42887_e_149,NA,9,1,0.56170347,1,0,1
1,106,static conscious control,f42887_e_125,NA,9,1,0.536134879,1,0,1
1,107,static conscious control,f42887_e_096,NA,10,2,0.549430484,1,0,1
1,108,static conscious control,f42887_e_178,NA,9,1,1.31653673,1,0,1
1,109,static conscious control,f42887_e_220,NA,10,2,0.710761419,1,0,1
1,110,static conscious control,f42887_e_204,NA,9,1,0.600549627,1,0,1
1,111,static conscious control,f42887_e_010,NA,9,1,0.599146946,1,0,1
1,112,static conscious control,f42887_e_273,NA,10,2,0.551035635,1,0,1
1,113,static conscious control,f42887_e_062,NA,9,1,0.318042045,1,0,1
1,114,static conscious control,f42887_e_276,NA,9,1,0.546568829,1,0,1
