Subject,Block,Trial,Stimulus,Group,RT,Acc,Location,Eye,Response
1,1,1,f42887_e_176,1,1.440065462,1,9,1,3
1,1,2,f42887_e_247,1,0.737945307,0,9,2,4
1,1,3,f42887_e_090,1,1.306307096,1,9,2,3
1,1,4,f42887_e_194,1,0.893334739,1,9,2,3
1,1,5,f42887_e_281,1,1.168039952,1,9,1,3
1,1,6,f42887_e_197,1,1.072229101,1,9,2,3
1,1,7,f42887_e_296,1,1.017390382,1,9,2,3
1,1,8,f42887_e_035,1,1.934630637,1,10,2,4
1,1,9,f42887_e_068,1,1.108950285,1,10,1,4
1,1,10,f42887_e_179,1,1.325529355,1,10,2,4
1,1,11,f42887_e_152,1,1.48688809,1,10,2,4
1,1,12,f42887_e_162,1,1.13885745,1,9,1,3
1,1,13,f42887_e_147,1,1.505125054,1,9,1,3
1,1,14,f42887_e_189,1,1.689531839,1,10,2,4
1,1,15,f42887_e_099,1,1.31697241,1,10,1,4
1,1,16,f42887_e_235,1,1.053921226,1,10,1,4
1,1,17,f42887_e_012,1,0.882779525,1,10,1,4
1,1,18,f42887_e_267,1,1.202219214,1,10,1,4
1,1,19,f42887_e_070,1,0.573692269,1,10,2,4
1,1,20,f42887_e_077,1,1.1226172,1,9,1,3
1,1,21,f42887_e_153,1,1.069333866,1,9,1,3
1,1,22,f42887_e_116,1,0.758361861,1,10,2,4
1,1,23,f42887_e_102,1,1.439618223,1,10,2,4
1,1,24,f42887_e_080,1,1.138055344,1,9,1,3
1,1,25,f42887_e_241,1,1.519354284,1,10,2,4
1,1,26,f42887_e_289,1,1.484403706,1,9,1,3
1,1,27,f42887_e_117,1,1.384162763,1,9,1,3
1,1,28,f42887_e_031,1,0.741010978,1,9,1,3
1,1,29,f42887_e_098,1,1.253929747,1,9,1,3
1,1,30,f42887_e_006,1,1.767112257,1,9,2,3
1,1,31,f42887_e_195,1,1.071018943,1,9,2,3
1,1,32,f42887_e_204,1,1.502188454,1,9,2,3
1,1,33,f42887_e_291,1,1.357878296,1,10,1,4
1,1,34,f42887_e_251,1,1.255235698,1,10,1,4
1,1,35,f42887_e_191,1,1.182949992,1,10,1,4
1,1,36,f42887_e_231,1,1.336857129,1,10,2,4
1,1,37,f42887_e_229,1,1.252656143,1,10,1,4
1,1,38,f42887_e_124,1,1.415711463,1,10,2,4
1,1,39,f42887_e_205,1,1.404263326,1,9,2,3
1,1,40,f42887_e_059,1,1.122421261,1,10,1,4
1,1,41,f42887_e_248,1,1.672343616,1,10,2,4
1,1,42,f42887_e_042,1,0.816055383,1,9,2,3
1,1,43,f42887_e_016,1,1.415547869,1,9,2,3
1,1,44,f42887_e_082,1,1.866668657,1,10,2,4
1,1,45,f42887_e_242,1,1.066543754,1,9,1,3
1,1,46,f42887_e_010,1,1.222037687,1,10,1,4
1,1,47,f42887_e_001,1,1.117830063,1,10,1,4
1,1,48,f42887_e_043,1,1.200731009,1,9,1,3
1,1,49,f42887_e_003,1,1.217727957,1,10,1,4
1,1,50,f42887_e_048,1,1.141094579,1,9,1,3
1,1,51,f42887_e_168,1,1.138867092,1,9,2,3
1,1,52,f42887_e_095,1,1.354795519,1,9,1,3
1,1,53,f42887_e_111,1,1.209645621,1,9,1,3
1,1,54,f42887_e_175,1,1.384926304,1,10,2,4
1,1,55,f42887_e_036,1,1.368349536,1,10,1,4
1,1,56,f42887_e_112,1,1.28830837,1,10,1,4
1,1,57,f42887_e_002,1,1.386655856,1,9,2,3
1,1,58,f42887_e_084,1,1.542208571,1,9,2,3
1,1,59,f42887_e_284,1,1.22160351,1,10,2,4
1,1,60,f42887_e_172,1,1.203148214,1,10,2,4
1,1,61,f42887_e_033,1,1.323271389,1,10,1,4
1,1,62,f42887_e_100,1,1.202342997,1,9,2,3
1,1,63,f42887_e_038,1,1.421073666,1,9,2,3
1,1,64,f42887_e_257,1,1.005668863,1,9,1,3
1,1,65,f42887_e_202,1,1.540988771,1,10,2,4
1,1,66,f42887_e_129,1,1.306968936,1,10,1,4
1,1,67,f42887_e_223,1,1.349238932,0,10,1,3
1,1,68,f42887_e_160,1,1.598024497,1,10,2,4
1,1,69,f42887_e_142,1,1.072387407,1,9,2,3
1,1,70,f42887_e_169,1,1.166294538,1,9,2,3
1,1,71,f42887_e_136,1,1.281447698,1,9,1,3
1,1,72,f42887_e_213,1,1.303416527,1,10,1,4
1,1,73,f42887_e_034,1,1.507377111,1,9,1,3
1,1,74,f42887_e_135,1,1.017119799,1,10,1,4
1,1,75,f42887_e_110,1,1.589670023,1,9,1,3
1,1,76,f42887_e_250,1,3.18100895,1,10,2,4
1,1,77,f42887_e_097,1,1.522658814,1,10,1,4
1,1,78,f42887_e_282,1,1.287162281,1,9,1,3
1,1,79,f42887_e_119,1,1.685055717,1,10,2,4
