Subject,Trial,Type,Stimulus,Eye,Location,Response,RT,Acc,Block
1,54,bCFS,f42887_e_227,0,9,1,2.290287637,1,1
1,55,bCFS,f42887_e_226,0,9,1,1.766873917,1,1
1,56,bCFS,f42887_e_152,1,10,2,5.876384991,1,1
1,57,bCFS,f42887_e_043,0,10,2,2.645582506,1,1
1,58,bCFS,f42887_e_039,0,10,2,1.760275411,1,1
1,59,bCFS,f42887_e_275,0,9,1,3.821103527,1,1
1,60,bCFS,f42887_e_040,1,10,2,3.243074849,1,1
1,61,bCFS,f42887_e_034,1,9,1,1.550009284,1,1
1,62,bCFS,f42887_e_290,0,9,1,3.764381127,1,1
1,63,bCFS,f42887_e_093,0,10,2,2.994181832,1,1
1,64,bCFS,f42887_e_014,1,10,2,4.749711144,1,1
1,65,bCFS,f42887_e_020,1,9,1,1.471972675,1,1
1,66,bCFS,f42887_e_159,0,10,2,3.717814008,1,1
1,67,bCFS,f42887_e_178,1,10,2,1.944290889,1,1
1,68,bCFS,f42887_e_109,1,9,1,2.635233462,1,1
1,69,bCFS,f42887_e_107,1,10,2,2.115515852,1,1
1,70,bCFS,f42887_e_004,0,9,1,2.917202987,1,1
1,71,bCFS,f42887_e_254,0,9,1,1.52262374,1,1
1,72,bCFS,f42887_e_131,1,10,2,4.585406589,1,1
1,73,bCFS,f42887_e_174,0,9,1,2.474386778,1,1
1,74,bCFS,f42887_e_216,0,10,2,4.223232988,1,1
1,75,bCFS,f42887_e_115,1,9,1,1.522875351,1,1
1,76,bCFS,f42887_e_190,1,9,1,1.260911282,1,1
1,77,bCFS,f42887_e_279,1,9,1,2.05567521,1,1
1,78,bCFS,f42887_e_281,1,10,2,1.327090421,1,1
1,79,bCFS,f42887_e_177,0,9,1,2.017641737,1,1
1,80,bCFS,f42887_e_091,1,9,1,1.977493046,1,1
1,81,bCFS,f42887_e_286,1,10,2,1.820684278,1,1
1,82,bCFS,f42887_e_047,0,10,2,1.57457796,1,1
1,83,bCFS,f42887_e_033,0,9,1,4.078864221,1,1
1,84,bCFS,f42887_e_145,1,9,1,5.997557906,1,1
1,85,bCFS,f42887_e_023,0,9,1,3.405046477,1,1
1,86,bCFS,f42887_e_003,0,9,1,4.858872326,1,1
1,87,bCFS,f42887_e_158,0,9,1,1.624956574,1,1
1,88,bCFS,f42887_e_042,1,9,1,1.793697456,1,1
1,89,bCFS,f42887_e_268,0,10,2,1.9751116,1,1
1,90,bCFS,f42887_e_133,0,10,2,2.903409757,1,1
1,91,bCFS,f42887_e_071,1,9,1,2.353202356,1,1
1,92,bCFS,f42887_e_148,0,10,2,2.0053532,1,1
1,93,bCFS,f42887_e_089,1,9,1,1.337724044,1,1
1,94,bCFS,f42887_e_076,0,9,1,2.578393188,1,1
1,95,bCFS,f42887_e_087,1,10,2,2.368796989,1,1
1,96,bCFS,f42887_e_048,1,9,1,1.466539544,1,1
1,97,bCFS,f42887_e_117,0,9,1,3.468774191,1,1
1,98,bCFS,f42887_e_049,1,9,1,1.185205424,1,1
1,99,bCFS,f42887_e_255,0,9,1,1.581914817,1,1
1,100,bCFS,f42887_e_150,0,10,2,1.684055755,1,1
1,101,bCFS,f42887_e_140,1,9,1,3.905530261,1,1
1,102,bCFS,f42887_e_253,0,10,2,2.586448491,1,1
1,103,bCFS,f42887_e_234,1,9,1,2.020175892,1,1
1,104,bCFS,f42887_e_241,0,10,2,2.399997761,1,1
1,105,bCFS,f42887_e_138,0,10,2,3.482413468,1,1
1,106,bCFS,f42887_e_235,1,9,1,1.83736,1,1
1,107,bCFS,f42887_e_257,1,9,1,2.295182711,1,1
1,108,bCFS,f42887_e_213,0,9,1,3.081864277,1,1
1,109,bCFS,f42887_e_099,1,9,1,3.703032682,1,1
1,110,bCFS,f42887_e_224,1,10,2,5.384790965,1,1
1,111,bCFS,f42887_e_282,0,9,1,10.47565759,1,1
1,112,bCFS,f42887_e_083,0,9,1,8.742672862,1,1
1,113,bCFS,f42887_e_181,1,9,1,6.636215338,1,1
1,114,bCFS,f42887_e_208,0,10,2,3.196377415,1,1
1,115,bCFS,f42887_e_157,1,10,2,2.546701944,1,1
1,116,bCFS,f42887_e_002,1,9,1,1.650945969,1,1
1,117,bCFS,f42887_e_240,0,10,2,4.141413808,1,1
1,118,bCFS,f42887_e_168,1,10,2,4.047795008,1,1
1,119,bCFS,f42887_e_169,1,9,1,2.482426842,1,1
1,120,bCFS,f42887_e_163,1,10,2,5.017773607,1,1
1,121,bCFS,f42887_e_274,1,10,2,2.126924837,1,1
1,122,bCFS,f42887_e_273,1,9,1,1.650911758,1,1
1,123,bCFS,f42887_e_106,1,9,1,1.816157135,1,1
1,124,bCFS,f42887_e_247,1,10,2,2.656504751,1,1
1,125,bCFS,f42887_e_029,0,9,1,2.807338288,1,1
1,126,bCFS,f42887_e_024,1,10,2,1.785419465,1,1
1,127,bCFS,f42887_e_011,1,10,2,2.525028201,1,1
1,128,bCFS,f42887_e_206,1,10,2,2.126904621,1,1
1,129,bCFS,f42887_e_288,1,9,1,2.048105402,1,1
1,130,bCFS,f42887_e_200,1,9,1,1.107983055,1,1
1,131,bCFS,f42887_e_090,0,9,1,3.040893884,1,1
1,132,bCFS,f42887_e_298,0,10,2,2.960229505,1,1
1,133,bCFS,f42887_e_214,1,10,2,2.188186509,1,1
1,134,bCFS,f42887_e_217,0,9,1,2.669726645,1,1
1,135,bCFS,f42887_e_266,1,9,1,2.179178253,1,1
1,136,bCFS,f42887_e_066,0,9,1,2.389783387,1,1
1,137,bCFS,f42887_e_170,0,9,1,4.254675108,1,1
1,138,bCFS,f42887_e_229,0,10,2,2.826591086,1,1
1,139,bCFS,f42887_e_204,0,9,1,2.437915536,1,1
1,140,bCFS,f42887_e_210,0,9,1,3.542477419,1,1
1,141,bCFS,f42887_e_287,0,10,2,6.01988758,1,1
1,142,bCFS,f42887_e_238,0,9,1,2.95107445,1,1
1,143,bCFS,f42887_e_218,1,10,2,2.355381643,1,1
1,144,bCFS,f42887_e_182,1,9,1,1.927052229,1,1
1,145,bCFS,f42887_e_222,1,10,2,2.266169311,1,1
1,146,bCFS,f42887_e_256,1,9,1,1.721690196,1,1
1,147,bCFS,f42887_e_154,0,10,2,8.853071574,1,1
1,148,bCFS,f42887_e_164,1,10,2,2.811966511,1,1
1,149,bCFS,f42887_e_258,1,9,1,1.451589647,1,1
1,150,bCFS,f42887_e_192,1,9,1,1.725285847,1,1
1,151,bCFS,f42887_e_250,1,9,1,2.25159792,1,1
1,152,bCFS,f42887_e_051,0,10,2,2.050182364,1,1
1,153,bCFS,f42887_e_267,1,9,1,1.936503992,1,1
1,154,bCFS,f42887_e_259,1,10,2,5.770106302,1,1
1,155,bCFS,f42887_e_205,0,9,1,6.146046074,1,1
1,156,bCFS,f42887_e_289,0,9,1,2.172995264,1,1
1,157,bCFS,f42887_e_098,0,10,2,8.99984387,1,1
1,158,bCFS,f42887_e_007,1,10,2,5.493258582,1,1
1,159,bCFS,f42887_e_198,1,10,2,4.277378935,1,1
1,160,bCFS,f42887_e_055,1,10,2,0.392019278,1,1
1,161,bCFS,f42887_e_191,0,10,2,4.349744796,1,1
1,162,bCFS,f42887_e_134,1,10,2,1.725949554,1,1
1,163,bCFS,f42887_e_127,1,9,1,2.160903911,1,1
1,164,bCFS,f42887_e_122,1,10,2,3.188378094,1,1
1,165,bCFS,f42887_e_278,1,9,1,2.018365781,1,1
1,166,bCFS,f42887_e_123,0,10,2,3.164101773,1,1
1,167,bCFS,f42887_e_141,0,9,1,1.897789706,1,1
1,168,bCFS,f42887_e_155,1,9,1,4.779352173,1,1
1,169,bCFS,f42887_e_070,0,9,1,1.894801779,1,1
1,170,bCFS,f42887_e_069,0,10,2,1.762144925,1,1
1,171,bCFS,f42887_e_248,0,10,2,2.424057926,1,1
1,172,bCFS,f42887_e_243,0,9,1,4.046666644,1,1
1,173,bCFS,f42887_e_078,0,9,1,3.940633968,1,1
1,174,bCFS,f42887_e_062,0,10,2,3.087810273,1,1
1,175,bCFS,f42887_e_046,0,10,2,3.563564898,1,1
1,176,bCFS,f42887_e_125,1,10,2,4.390729496,1,1
1,177,bCFS,f42887_e_228,1,10,2,1.413558351,1,1
1,178,bCFS,f42887_e_074,1,10,2,3.357902113,1,1
1,179,bCFS,f42887_e_053,1,10,2,6.096694122,1,1
1,180,bCFS,f42887_e_096,0,9,1,1.588170585,1,1
1,181,bCFS,f42887_e_179,0,9,1,3.761682445,1,1
1,182,bCFS,f42887_e_113,0,10,2,2.544584239,1,1
1,183,bCFS,f42887_e_172,1,9,1,2.05864883,1,1
1,184,bCFS,f42887_e_233,0,10,2,1.703532484,1,1
1,185,bCFS,f42887_e_291,0,10,2,2.826843941,1,1
1,186,bCFS,f42887_e_146,1,10,2,2.968424765,1,1
1,187,bCFS,f42887_e_185,1,9,1,1.473525576,1,1
1,188,bCFS,f42887_e_075,0,10,2,2.186232087,1,1
1,189,bCFS,f42887_e_251,1,10,2,3.433523685,1,1
1,190,bCFS,f42887_e_180,0,9,1,1.573346027,1,1
1,191,bCFS,f42887_e_136,0,9,1,1.479143762,1,1
1,192,bCFS,f42887_e_112,1,10,2,3.33674901,1,1
1,193,bCFS,f42887_e_221,1,9,1,2.005839318,1,1
1,194,bCFS,f42887_e_219,0,9,1,1.995599441,1,1
1,195,bCFS,f42887_e_080,0,10,2,2.658956176,1,1
1,196,bCFS,f42887_e_223,1,9,1,1.788650295,1,1
1,197,bCFS,f42887_e_263,0,9,1,2.160638926,1,1
1,198,bCFS,f42887_e_176,0,9,1,1.807211083,1,1
1,199,bCFS,f42887_e_018,0,10,2,2.048001834,1,1
1,200,bCFS,f42887_e_013,1,10,2,3.568678305,1,1
1,201,bCFS,f42887_e_031,1,9,1,3.009805388,1,1
1,202,bCFS,f42887_e_035,1,9,1,2.422302243,1,1
1,203,bCFS,f42887_e_027,1,9,1,1.384877427,1,1
1,204,bCFS,f42887_e_188,0,9,1,2.113181369,1,1
1,205,bCFS,f42887_e_132,0,10,2,5.63698448,1,1
1,206,bCFS,f42887_e_167,0,10,2,1.632957761,1,1
1,207,bCFS,f42887_e_269,1,10,2,6.048295432,1,1
1,208,bCFS,f42887_e_009,0,10,2,4.173423532,1,1
1,209,bCFS,f42887_e_021,1,9,1,1.326363267,1,1
1,210,bCFS,f42887_e_271,0,9,1,1.807763758,1,1
1,211,bCFS,f42887_e_105,1,9,1,2.110299499,1,1
1,212,bCFS,f42887_e_277,1,9,1,2.012722714,1,1
1,213,bCFS,f42887_e_065,1,9,1,1.192742265,1,1
1,214,bCFS,f42887_e_016,1,10,2,4.455987408,1,1
1,215,bCFS,f42887_e_237,1,9,1,2.020838044,1,1
1,216,bCFS,f42887_e_201,1,9,1,1.970901071,1,1
1,217,bCFS,f42887_e_160,0,10,2,2.349306264,1,1
1,218,bCFS,f42887_e_037,0,9,1,2.207580196,1,1
1,219,bCFS,f42887_e_135,0,10,2,1.582176692,1,1
1,220,bCFS,f42887_e_209,0,10,2,5.403074949,1,1
1,221,bCFS,f42887_e_293,0,9,1,1.202814193,1,1
1,222,bCFS,f42887_e_184,0,10,2,3.928988612,1,1
1,223,bCFS,f42887_e_189,0,10,2,1.197837011,1,1
1,224,bCFS,f42887_e_118,1,10,2,1.900638919,1,1
1,225,bCFS,f42887_e_094,0,10,2,1.367415457,1,1
1,226,bCFS,f42887_e_054,0,10,2,2.334162605,1,1
1,227,bCFS,f42887_e_162,1,10,2,2.70178582,1,1
1,228,bCFS,f42887_e_100,0,10,2,1.41664798,1,1
1,229,bCFS,f42887_e_103,1,10,2,1.899338563,1,1
1,230,bCFS,f42887_e_297,1,9,1,1.549050734,1,1
1,231,bCFS,f42887_e_110,0,9,1,1.726111282,1,1
1,232,bCFS,f42887_e_092,0,9,1,3.123146619,1,1
1,233,bCFS,f42887_e_111,1,9,1,1.820559872,1,1
1,234,bCFS,f42887_e_193,0,9,1,4.903188936,1,1
1,235,bCFS,f42887_e_022,0,9,1,1.172368878,1,1
1,236,bCFS,f42887_e_025,1,9,1,2.073519418,1,1
1,237,bCFS,f42887_e_261,0,9,1,1.793489697,1,1
1,238,bCFS,f42887_e_102,0,10,2,2.130213204,1,1
1,239,bCFS,f42887_e_044,1,9,1,2.207759963,1,1
1,240,bCFS,f42887_e_060,0,10,2,2.654735383,1,1
1,241,bCFS,f42887_e_264,0,9,1,1.619725914,1,1
1,242,bCFS,f42887_e_187,1,10,2,3.812795057,1,1
1,243,bCFS,f42887_e_052,1,10,2,3.55390662,1,1
1,244,bCFS,f42887_e_147,0,9,1,1.38009774,1,1
1,245,bCFS,f42887_e_137,0,9,1,1.47599193,1,1
1,246,bCFS,f42887_e_245,1,9,1,1.707538987,1,1
1,247,bCFS,f42887_e_006,0,10,2,1.574907947,1,1
1,248,bCFS,f42887_e_212,0,10,2,1.750187931,1,1
1,249,bCFS,f42887_e_001,0,9,1,1.718543029,1,1
1,250,bCFS,f42887_e_059,0,10,2,1.447682048,1,1
1,251,bCFS,f42887_e_202,1,10,2,1.47060203,1,1
1,252,bCFS,f42887_e_028,0,10,2,3.176870829,1,1
1,253,bCFS,f42887_e_120,0,10,2,1.444426025,1,1
1,254,bCFS,f42887_e_050,1,9,1,4.206306898,1,1
1,255,bCFS,f42887_e_242,1,10,2,4.007556124,1,1
1,256,bCFS,f42887_e_086,0,9,1,2.592360586,1,1
1,257,bCFS,f42887_e_265,0,10,2,1.446210633,1,1
1,258,bCFS,f42887_e_199,0,9,1,3.246630379,1,1
1,259,bCFS,f42887_e_067,1,9,1,1.48669211,1,1
1,260,bCFS,f42887_e_088,1,10,2,1.048262154,1,1
1,261,bCFS,f42887_e_153,1,10,2,2.107591797,1,1
1,262,bCFS,f42887_e_015,0,9,1,1.868079631,1,1
1,263,bCFS,f42887_e_058,0,10,2,2.059128727,1,1
1,264,bCFS,f42887_e_270,1,9,1,2.570654809,1,1
1,265,bCFS,f42887_e_085,1,9,2,2.177870122,0,1
1,266,bCFS,f42887_e_165,1,9,1,2.140854602,1,1
1,267,bCFS,f42887_e_116,0,9,1,3.139649106,1,1
1,268,bCFS,f42887_e_195,0,9,1,2.770658666,1,1
1,269,bCFS,f42887_e_079,1,9,1,2.895773703,1,1
1,270,bCFS,f42887_e_151,1,9,1,4.090189853,1,1
1,271,bCFS,f42887_e_207,0,9,1,2.4686728,1,1
1,272,bCFS,f42887_e_097,0,9,1,2.071306542,1,1
1,273,bCFS,f42887_e_249,0,9,1,2.501406257,1,1
1,274,bCFS,f42887_e_124,1,9,1,3.444909966,1,1
1,275,bCFS,f42887_e_084,0,10,2,2.236293777,1,1
1,276,bCFS,f42887_e_161,1,9,1,2.101301196,1,1
1,277,bCFS,f42887_e_252,1,10,2,4.596467547,1,1
1,278,bCFS,f42887_e_183,0,10,2,2.084805863,1,1
1,279,bCFS,f42887_e_101,1,9,1,1.502376004,1,1
1,280,bCFS,f42887_e_196,0,9,1,1.443933377,1,1
1,281,bCFS,f42887_e_197,1,10,2,1.687102775,1,1
1,282,bCFS,f42887_e_130,0,10,2,2.174348803,1,1
1,283,bCFS,f42887_e_186,0,9,1,3.570317979,1,1
1,284,bCFS,f42887_e_262,0,9,1,2.235274268,1,1
1,285,bCFS,f42887_e_144,1,10,2,4.770563495,1,1
1,286,bCFS,f42887_e_203,0,10,2,1.941089606,1,1
1,287,bCFS,f42887_e_171,1,9,1,1.370538987,1,1
1,288,bCFS,f42887_e_260,1,9,1,1.980935678,1,1
1,289,bCFS,f42887_e_246,1,10,2,2.956274319,1,1
1,290,bCFS,f42887_e_296,1,10,2,5.439694856,1,1
1,291,bCFS,f42887_e_285,1,9,1,1.8363831,1,1
1,292,bCFS,f42887_e_082,1,10,2,3.618766742,1,1
1,293,bCFS,f42887_e_294,0,10,2,2.04452779,1,1
1,294,bCFS,f42887_e_061,0,9,1,1.824472759,1,1
1,295,bCFS,f42887_e_231,1,9,1,1.92183121,1,1
1,296,bCFS,f42887_e_156,0,9,1,5.515784818,1,1
1,297,bCFS,f42887_e_010,0,10,2,3.96799743,1,1
1,298,bCFS,f42887_e_280,1,10,2,3.915934666,1,1
1,299,bCFS,f42887_e_073,1,9,1,1.388993718,1,1
1,300,bCFS,f42887_e_041,1,9,1,1.550078329,1,1
1,301,bCFS,f42887_e_073,1,9,1,2.755851525,1,2
1,302,bCFS,f42887_e_024,1,10,2,4.020973647,1,2
1,303,bCFS,f42887_e_200,1,9,1,1.13417461,1,2
1,304,bCFS,f42887_e_128,0,10,2,1.335677872,1,2
1,305,bCFS,f42887_e_121,1,10,2,2.146220865,1,2
1,306,bCFS,f42887_e_037,0,9,1,2.02371867,1,2
1,307,bCFS,f42887_e_236,0,9,1,4.56629406,1,2
1,308,bCFS,f42887_e_192,1,9,1,1.91933842,1,2
1,309,bCFS,f42887_e_176,0,9,1,1.754809623,1,2
1,310,bCFS,f42887_e_015,0,9,1,2.21343973,1,2
1,311,bCFS,f42887_e_196,0,9,1,1.997879185,1,2
1,312,bCFS,f42887_e_187,1,10,2,2.383477546,1,2
1,313,bCFS,f42887_e_237,1,9,1,1.997413594,1,2
1,314,bCFS,f42887_e_004,0,9,1,2.17731527,1,2
1,315,bCFS,f42887_e_277,1,9,1,2.40109689,1,2
1,316,bCFS,f42887_e_056,0,10,2,1.792925204,1,2
1,317,bCFS,f42887_e_157,1,10,2,2.703526264,1,2
1,318,bCFS,f42887_e_045,0,9,1,1.469088628,1,2
1,319,bCFS,f42887_e_082,1,10,2,2.51591078,1,2
1,320,bCFS,f42887_e_065,1,9,1,1.260520335,1,2
1,321,bCFS,f42887_e_013,1,10,2,2.164862517,1,2
1,322,bCFS,f42887_e_103,1,10,2,3.535473038,1,2
1,323,bCFS,f42887_e_294,0,10,2,3.458286746,1,2
1,324,bCFS,f42887_e_144,1,10,2,3.165130924,1,2
1,325,bCFS,f42887_e_101,1,9,1,1.306652654,1,2
1,326,bCFS,f42887_e_164,1,10,2,3.741801396,1,2
1,327,bCFS,f42887_e_060,0,10,2,2.400002115,1,2
1,328,bCFS,f42887_e_091,1,9,1,1.400203342,1,2
1,329,bCFS,f42887_e_142,0,10,2,1.789975221,1,2
1,330,bCFS,f42887_e_002,1,9,1,1.527273112,1,2
1,331,bCFS,f42887_e_022,0,9,1,1.53542172,1,2
1,332,bCFS,f42887_e_069,0,10,2,1.760040905,1,2
1,333,bCFS,f42887_e_214,1,10,2,3.455376884,1,2
1,334,bCFS,f42887_e_030,1,9,1,1.474532645,1,2
1,335,bCFS,f42887_e_285,1,9,1,2.08373939,1,2
1,336,bCFS,f42887_e_040,1,10,2,2.268547336,1,2
1,337,bCFS,f42887_e_111,1,9,1,3.608785941,1,2
1,338,bCFS,f42887_e_110,0,9,1,2.274973229,1,2
1,339,bCFS,f42887_e_075,0,10,2,1.753506778,1,2
1,340,bCFS,f42887_e_092,0,9,1,1.996209031,1,2
1,341,bCFS,f42887_e_233,0,10,2,2.024252684,1,2
1,342,bCFS,f42887_e_051,0,10,2,1.909896298,1,2
1,343,bCFS,f42887_e_186,0,9,1,3.21840696,1,2
1,344,bCFS,f42887_e_178,1,10,2,3.628964321,1,2
1,345,bCFS,f42887_e_271,0,9,1,1.696251609,1,2
1,346,bCFS,f42887_e_210,0,9,1,1.811882848,1,2
1,347,bCFS,f42887_e_094,0,10,2,1.396282058,1,2
1,348,bCFS,f42887_e_052,1,10,2,2.327096953,1,2
1,349,bCFS,f42887_e_019,1,10,2,3.658051742,1,2
1,350,bCFS,f42887_e_057,1,10,2,1.865130892,1,2
1,351,bCFS,f42887_e_127,1,9,1,1.644273441,1,2
1,352,bCFS,f42887_e_205,0,9,1,2.260062209,1,2
1,353,bCFS,f42887_e_230,0,10,2,1.685856846,1,2
1,354,bCFS,f42887_e_108,1,9,1,2.215681219,1,2
1,355,bCFS,f42887_e_249,0,9,1,1.859625606,1,2
1,356,bCFS,f42887_e_217,0,9,1,1.659645386,1,2
1,357,bCFS,f42887_e_216,0,10,2,1.760705234,1,2
1,358,bCFS,f42887_e_059,0,10,2,1.452119618,1,2
1,359,bCFS,f42887_e_163,1,10,2,3.02567247,1,2
1,360,bCFS,f42887_e_270,1,9,1,1.420784798,1,2
1,361,bCFS,f42887_e_209,0,10,2,1.773325002,1,2
1,362,bCFS,f42887_e_240,0,10,2,3.511444596,1,2
1,363,bCFS,f42887_e_179,0,9,1,2.255448293,1,2
1,364,bCFS,f42887_e_250,1,9,1,1.800232515,1,2
1,365,bCFS,f42887_e_168,1,10,2,1.995795069,1,2
1,366,bCFS,f42887_e_202,1,10,2,2.350208831,1,2
1,367,bCFS,f42887_e_170,0,9,1,1.97779131,1,2
1,368,bCFS,f42887_e_001,0,9,1,2.18942404,1,2
1,369,bCFS,f42887_e_291,0,10,2,2.497847306,1,2
1,370,bCFS,f42887_e_139,1,9,1,1.909531788,1,2
1,371,bCFS,f42887_e_028,0,10,2,1.507885334,1,2
1,372,bCFS,f42887_e_225,1,10,2,5.322968221,1,2
1,373,bCFS,f42887_e_126,1,9,1,1.165712212,1,2
1,374,bCFS,f42887_e_189,0,10,2,1.669366178,1,2
1,375,bCFS,f42887_e_116,0,9,1,1.891285437,1,2
1,376,bCFS,f42887_e_222,1,10,2,2.17465702,1,2
1,377,bCFS,f42887_e_132,0,10,2,1.897025229,1,2
1,378,bCFS,f42887_e_034,1,9,1,1.490215916,1,2
1,379,bCFS,f42887_e_033,0,9,1,1.980562459,1,2
1,380,bCFS,f42887_e_268,0,10,2,1.47363692,1,2
1,381,bCFS,f42887_e_263,0,9,1,2.361225625,1,2
1,382,bCFS,f42887_e_232,0,9,1,2.505148085,1,2
1,383,bCFS,f42887_e_011,1,10,2,2.373668115,1,2
1,384,bCFS,f42887_e_153,1,10,2,5.730941354,1,2
1,385,bCFS,f42887_e_017,1,10,2,2.456157533,1,2
1,386,bCFS,f42887_e_026,0,10,2,1.927660886,1,2
1,387,bCFS,f42887_e_262,0,9,1,1.759859272,1,2
1,388,bCFS,f42887_e_245,1,9,1,2.573419116,1,2
1,389,bCFS,f42887_e_174,0,9,1,2.398834562,1,2
1,390,bCFS,f42887_e_257,1,9,1,1.757288417,1,2
1,391,bCFS,f42887_e_224,1,10,2,1.86408899,1,2
1,392,bCFS,f42887_e_119,0,10,2,1.855445556,1,2
1,393,bCFS,f42887_e_296,1,10,2,6.424154652,1,2
1,394,bCFS,f42887_e_125,1,10,2,2.883371645,1,2
1,395,bCFS,f42887_e_274,1,10,2,2.166062415,1,2
1,396,bCFS,f42887_e_044,1,9,1,1.36884644,1,2
1,397,bCFS,f42887_e_014,1,10,2,1.394655135,1,2
1,398,bCFS,f42887_e_297,1,9,1,1.369240497,1,2
1,399,bCFS,f42887_e_012,0,9,1,2.383894307,1,2
1,400,bCFS,f42887_e_055,1,10,2,10.17272126,1,2
1,401,bCFS,f42887_e_099,1,9,1,2.830308966,1,2
1,402,bCFS,f42887_e_102,0,10,2,1.894920587,1,2
1,403,bCFS,f42887_e_219,0,9,1,2.207843315,1,2
1,404,bCFS,f42887_e_072,1,10,2,2.32597543,1,2
1,405,bCFS,f42887_e_243,0,9,1,1.690826875,1,2
1,406,bCFS,f42887_e_221,1,9,1,1.702020326,1,2
1,407,bCFS,f42887_e_138,0,10,2,1.223092098,1,2
1,408,bCFS,f42887_e_090,0,9,1,1.721612753,1,2
1,409,bCFS,f42887_e_081,0,9,1,2.461358336,1,2
1,410,bCFS,f42887_e_288,1,9,1,1.868307295,1,2
1,411,bCFS,f42887_e_162,1,10,2,3.311896377,1,2
1,412,bCFS,f42887_e_228,1,10,2,1.929532267,1,2
1,413,bCFS,f42887_e_242,1,10,2,1.53470203,1,2
1,414,bCFS,f42887_e_084,0,10,2,2.052733625,1,2
1,415,bCFS,f42887_e_146,1,10,2,3.454666835,1,2
1,416,bCFS,f42887_e_215,0,9,1,1.734643683,1,2
1,417,bCFS,f42887_e_287,0,10,2,1.425740209,1,2
1,418,bCFS,f42887_e_133,0,10,2,2.952334063,1,2
1,419,bCFS,f42887_e_123,0,10,2,1.241235503,1,2
1,420,bCFS,f42887_e_295,1,10,2,2.115431567,1,2
1,421,bCFS,f42887_e_078,0,9,1,4.539335229,1,2
1,422,bCFS,f42887_e_035,1,9,1,3.45335746,1,2
