Subject,Trial,Type,Stimulus,Eye,Location,Response,RT,Acc,Block
1,1,bCFS,f42887_e_299,0,10,2,1.706613093,1,1
1,2,bCFS,f42887_e_026,0,10,2,2.370872085,1,1
1,3,bCFS,f42887_e_072,1,10,2,2.274149038,1,1
1,4,bCFS,f42887_e_239,0,9,1,1.925611915,1,1
1,5,bCFS,f42887_e_019,1,10,2,1.867844192,1,1
1,6,bCFS,f42887_e_166,1,9,1,1.856929412,1,1
1,7,bCFS,f42887_e_284,0,10,2,2.23447869,1,1
1,8,bCFS,f42887_e_000,1,10,2,2.506034791,1,1
1,9,bCFS,f42887_e_064,0,9,1,1.750879008,1,1
1,10,bCFS,f42887_e_012,0,9,1,1.645062488,1,1
1,11,bCFS,f42887_e_121,1,10,2,1.382522728,1,1
1,12,bCFS,f42887_e_077,1,10,2,1.714449442,1,1
1,13,bCFS,f42887_e_295,1,10,2,3.433594597,1,1
1,14,bCFS,f42887_e_211,1,9,1,2.420907649,1,1
1,15,bCFS,f42887_e_142,0,10,2,2.234122577,1,1
1,16,bCFS,f42887_e_057,1,10,2,1.967237308,1,1
1,17,bCFS,f42887_e_036,1,9,1,1.342318055,1,1
1,18,bCFS,f42887_e_232,0,9,1,1.469570702,1,1
1,19,bCFS,f42887_e_283,1,9,1,2.086303714,1,1
1,20,bCFS,f42887_e_143,0,9,1,2.856285298,1,1
1,21,bCFS,f42887_e_276,0,10,2,3.207963056,1,1
1,22,bCFS,f42887_e_114,1,9,1,3.319818877,1,1
1,23,bCFS,f42887_e_005,0,9,1,2.126995748,1,1
1,24,bCFS,f42887_e_139,1,9,1,1.729022077,1,1
1,25,bCFS,f42887_e_038,1,10,2,2.71120897,1,1
1,26,bCFS,f42887_e_220,1,10,2,4.008465533,1,1
1,27,bCFS,f42887_e_175,0,9,1,1.769753299,1,1
1,28,bCFS,f42887_e_126,1,9,1,1.188679779,1,1
1,29,bCFS,f42887_e_129,1,9,1,2.681578827,1,1
1,30,bCFS,f42887_e_149,1,10,2,1.471586083,1,1
1,31,bCFS,f42887_e_108,1,9,1,2.011167636,1,1
1,32,bCFS,f42887_e_008,1,10,2,1.70960413,1,1
1,33,bCFS,f42887_e_244,0,10,2,1.950040323,1,1
1,34,bCFS,f42887_e_081,0,9,1,1.82083201,1,1
1,35,bCFS,f42887_e_104,0,10,2,1.78493708,1,1
1,36,bCFS,f42887_e_063,0,10,2,2.032669388,1,1
1,37,bCFS,f42887_e_095,0,9,1,3.454895121,1,1
1,38,bCFS,f42887_e_173,1,10,2,2.010110183,1,1
1,39,bCFS,f42887_e_045,0,9,1,1.546040414,1,1
1,40,bCFS,f42887_e_272,1,9,1,2.110095161,1,1
1,41,bCFS,f42887_e_128,0,10,2,1.798823926,1,1
1,42,bCFS,f42887_e_119,0,10,2,1.738218497,1,1
1,43,bCFS,f42887_e_030,1,9,1,2.424603758,1,1
1,44,bCFS,f42887_e_068,0,9,1,1.47128813,1,1
1,45,bCFS,f42887_e_236,0,9,1,1.730291642,1,1
1,46,bCFS,f42887_e_225,1,10,2,3.123528546,1,1
1,47,bCFS,f42887_e_056,0,10,2,1.898083615,1,1
1,48,bCFS,f42887_e_194,1,9,1,1.43913845,1,1
1,49,bCFS,f42887_e_215,0,9,1,3.737470193,1,1
1,50,bCFS,f42887_e_032,0,10,2,1.55157307,1,1
1,51,bCFS,f42887_e_017,1,10,2,3.982347378,1,1
1,52,bCFS,f42887_e_230,0,10,2,1.83197321,1,1
1,53,bCFS,f42887_e_292,1,9,1,2.137854235,1,1
