Subject,Condition,Block,Trial,Stimulus,Group,RT,Acc,Side,Eye,Response
1,4,1,1,f42887_e_085,1,2.1811519,1,10,2,4
1,4,1,2,f42887_e_099,1,3.328366295,1,10,2,4
1,4,1,3,f42887_e_202,1,2.573645764,1,10,1,4
1,4,1,4,f42887_e_104,1,1.773932335,1,9,1,3
1,4,1,5,f42887_e_264,1,1.403189413,1,10,2,4
1,4,1,6,f42887_e_044,1,1.853868875,1,9,1,3
1,4,1,7,f42887_e_232,1,1.5229877,1,9,1,3
1,4,1,8,f42887_e_237,1,2.213567288,1,10,1,4
1,4,1,9,f42887_e_074,1,1.539559283,1,10,1,4
1,4,1,10,f42887_e_112,1,2.293605842,1,10,1,4
1,4,1,11,f42887_e_019,1,2.963660204,1,9,2,3
1,4,1,12,f42887_e_014,1,3.885398177,1,9,2,3
1,4,1,13,f42887_e_081,1,1.64341113,1,9,1,3
1,4,1,14,f42887_e_249,1,4.334084957,1,10,1,4
1,4,1,15,f42887_e_157,1,8.044860094,1,10,2,4
1,4,1,16,f42887_e_073,1,3.292544031,1,10,1,4
1,4,1,17,f42887_e_103,1,3.299144736,1,10,1,4
1,4,1,18,f42887_e_209,1,3.203142947,1,9,2,3
1,4,1,19,f42887_e_282,1,1.532702613,1,9,1,3
1,4,1,20,f42887_e_166,1,1.903469172,1,10,1,4
1,4,1,21,f42887_e_138,1,3.6995322,1,9,2,3
1,4,1,22,f42887_e_275,1,1.311705761,1,9,1,3
1,4,1,23,f42887_e_127,1,2.962969126,1,9,1,3
1,4,1,24,f42887_e_128,1,2.89399312,1,9,1,3
1,4,1,25,f42887_e_221,1,7.990914274,1,10,2,4
1,4,1,26,f42887_e_291,1,1.518571887,1,9,1,3
1,4,1,27,f42887_e_108,1,1.852758546,1,9,1,3
1,4,1,28,f42887_e_098,1,2.803564125,1,10,1,4
1,4,1,29,f42887_e_217,1,3.803330863,1,10,1,4
1,4,1,30,f42887_e_046,1,1.261758991,1,9,1,3
1,4,1,31,f42887_e_253,1,3.293081157,1,10,2,4
1,4,1,32,f42887_e_057,1,3.142973685,1,9,1,3
1,4,1,33,f42887_e_248,1,2.172448412,1,10,1,4
1,4,1,34,f42887_e_125,1,1.857999486,1,10,2,4
1,4,1,35,f42887_e_233,1,1.632530838,1,9,2,3
1,4,1,36,f42887_e_151,1,2.532618016,1,9,2,3
1,4,1,37,f42887_e_009,1,2.74272058,1,10,2,4
1,4,1,38,f42887_e_055,1,1.932835354,1,10,1,4
1,4,1,39,f42887_e_100,1,2.122203067,1,9,2,3
1,4,1,40,f42887_e_038,1,2.958052265,1,10,2,4
1,4,1,41,f42887_e_027,1,1.462221597,1,10,2,4
1,4,1,42,f42887_e_271,1,1.41230002,1,9,2,3
1,4,1,43,f42887_e_072,1,4.533348905,1,10,1,4
1,4,1,44,f42887_e_026,1,3.302719249,1,10,1,4
1,4,1,45,f42887_e_226,1,1.991981993,1,10,1,4
1,4,1,46,f42887_e_173,1,1.291418774,1,9,1,3
1,4,1,47,f42887_e_284,1,9.594015793,1,10,2,4
1,4,1,48,f42887_e_207,1,8.743542908,1,10,1,4
1,4,1,49,f42887_e_141,1,8.593856241,1,10,2,4
1,4,1,50,f42887_e_080,1,1.881527576,1,10,1,4
1,4,1,51,f42887_e_115,1,1.642144671,1,10,1,4
1,4,1,52,f42887_e_002,1,4.852633517,1,10,2,4
1,4,1,53,f42887_e_147,1,1.846695278,1,10,2,4
1,4,1,54,f42887_e_156,1,4.02280871,1,9,1,3
1,4,1,55,f42887_e_293,1,3.112519878,1,10,1,4
1,4,1,56,f42887_e_075,1,1.607381107,1,9,1,3
1,4,1,57,f42887_e_091,1,1.991654493,1,9,1,3
1,4,1,58,f42887_e_016,1,4.068327225,1,9,2,3
1,4,1,59,f42887_e_058,1,1.721740026,1,10,1,4
1,4,1,60,f42887_e_068,1,1.851300189,1,9,1,3
1,4,1,61,f42887_e_250,1,1.99781231,1,9,2,3
1,4,1,62,f42887_e_107,1,1.906601731,1,9,1,3
1,4,1,63,f42887_e_162,1,3.441776925,1,10,2,4
1,4,1,64,f42887_e_090,1,1.880902433,1,10,2,4
1,4,1,65,f42887_e_219,1,2.93196513,1,10,2,4
1,4,1,66,f42887_e_285,1,1.577444831,1,9,2,3
1,4,1,67,f42887_e_092,1,2.417626801,1,10,1,4
1,4,1,68,f42887_e_129,1,1.291265753,1,9,1,3
1,4,1,69,f42887_e_230,1,1.190951098,1,9,2,3
1,4,1,70,f42887_e_153,1,4.808187386,1,9,2,3
1,4,1,71,f42887_e_042,1,2.191193691,1,9,1,3
1,4,1,72,f42887_e_215,1,2.121730322,1,10,1,4
1,4,1,73,f42887_e_277,1,7.839915739,1,10,2,4
1,4,1,74,f42887_e_200,1,1.781452715,1,9,1,3
1,4,1,75,f42887_e_198,1,8.979967735,1,10,2,4
1,4,1,76,f42887_e_287,1,2.717357802,1,9,1,3
1,4,1,77,f42887_e_183,1,1.387019662,1,9,1,3
1,4,1,78,f42887_e_048,1,1.567205544,1,9,1,3
1,4,1,79,f42887_e_278,1,2.387346852,1,10,1,4
1,4,1,80,f42887_e_102,1,8.909154243,1,10,2,4
1,4,1,81,f42887_e_168,1,1.586055946,1,9,2,3
1,4,1,82,f42887_e_205,1,1.286504401,1,9,2,3
1,4,1,83,f42887_e_231,1,1.986820985,1,9,1,3
1,4,1,84,f42887_e_180,1,1.00606389,1,9,1,3
1,4,1,85,f42887_e_047,1,1.116257986,1,9,1,3
1,4,1,86,f42887_e_022,1,1.826968743,1,9,2,3
1,4,1,87,f42887_e_052,1,1.3662111,1,9,1,3
1,4,1,88,f42887_e_076,1,2.016776233,1,10,1,4
1,4,1,89,f42887_e_299,1,1.096327112,1,9,2,3
1,4,1,90,f42887_e_256,1,0.866307982,1,9,1,3
1,4,1,91,f42887_e_135,1,2.226964948,1,10,2,4
1,4,1,92,f42887_e_159,1,1.65657926,1,9,2,3
1,4,1,93,f42887_e_245,1,4.135487828,1,10,2,4
1,4,1,94,f42887_e_087,1,5.297314092,1,10,2,4
1,4,1,95,f42887_e_276,1,1.045886137,1,9,2,3
1,4,1,96,f42887_e_137,1,2.697317762,1,10,1,4
1,4,1,97,f42887_e_283,1,5.857966829,1,10,2,4
1,4,1,98,f42887_e_008,1,5.59710201,1,10,2,4
1,4,1,99,f42887_e_170,1,2.956211047,1,10,1,4
1,4,1,100,f42887_e_096,1,1.616492337,1,9,2,3
1,4,1,101,f42887_e_049,1,1.135627163,1,9,1,3
1,4,1,102,f42887_e_243,1,2.695511067,1,10,2,4
1,4,1,103,f42887_e_007,1,1.726238258,1,9,1,3
1,4,1,104,f42887_e_297,1,1.585951756,1,10,1,4
1,4,1,105,f42887_e_179,1,1.626137582,1,10,2,4
1,4,1,106,f42887_e_088,1,1.496050867,1,10,1,4
1,4,1,107,f42887_e_240,1,1.255728381,1,9,2,3
1,4,1,108,f42887_e_054,1,1.305655245,1,9,2,3
1,4,1,109,f42887_e_017,1,1.665727811,1,10,1,4
1,4,1,110,f42887_e_225,1,1.086067298,1,9,2,3
1,4,1,111,f42887_e_192,1,1.055584255,1,9,2,3
1,4,1,112,f42887_e_247,1,1.165253356,1,9,2,3
1,4,1,113,f42887_e_020,1,1.52540803,1,9,1,3
1,4,1,114,f42887_e_062,1,1.305850252,1,9,2,3
1,4,1,115,f42887_e_274,1,0.765424788,1,9,1,3
1,4,1,116,f42887_e_131,1,2.365295778,1,10,2,4
1,4,1,117,f42887_e_120,1,1.895428461,1,9,2,3
1,4,1,118,f42887_e_257,1,2.255877979,1,10,2,4
1,4,1,119,f42887_e_111,1,0.925245929,1,9,1,3
1,4,1,120,f42887_e_227,1,1.915694299,1,9,1,3
1,4,1,121,f42887_e_229,1,0.82518133,1,9,1,3
1,4,1,122,f42887_e_178,1,1.99551483,1,10,2,4
1,4,1,123,f42887_e_155,1,1.565335713,1,9,2,3
1,4,1,124,f42887_e_210,1,3.716126799,1,10,2,4
1,4,1,125,f42887_e_163,1,0.925027595,1,10,1,4
1,4,1,126,f42887_e_119,1,1.355156017,1,9,1,3
1,4,1,127,f42887_e_255,1,1.345729727,1,9,1,3
1,4,1,128,f42887_e_263,1,2.035582159,1,10,2,4
1,4,1,129,f42887_e_204,1,0.944829397,1,9,1,3
1,4,1,130,f42887_e_252,1,1.195249347,1,9,2,3
1,4,1,131,f42887_e_083,1,2.015311656,1,9,2,3
1,4,1,132,f42887_e_116,1,3.285977228,1,10,1,4
1,4,1,133,f42887_e_121,1,0.91497865,1,9,2,3
1,4,1,134,f42887_e_150,1,3.915558696,1,10,2,4
1,4,1,135,f42887_e_268,1,1.465117473,0,9,1,4
1,4,1,136,f42887_e_224,1,3.115381541,1,10,1,4
1,4,1,137,f42887_e_136,1,1.954521605,1,10,2,4
1,4,1,138,f42887_e_234,1,2.834965911,1,10,2,4
1,4,1,139,f42887_e_106,1,1.854915757,1,9,2,3
1,4,1,140,f42887_e_082,1,1.04463554,1,9,2,3
1,4,1,141,f42887_e_220,1,3.305578113,1,10,2,4
1,4,1,142,f42887_e_011,1,1.114210253,1,9,2,3
1,4,1,143,f42887_e_060,1,3.685977166,1,10,1,4
1,4,1,144,f42887_e_041,1,6.18620934,1,10,2,4
1,4,1,145,f42887_e_160,1,2.114874273,1,9,2,3
1,4,1,146,f42887_e_196,1,2.034815814,1,10,2,4
1,4,1,147,f42887_e_061,1,1.984577,1,10,2,4
1,4,1,148,f42887_e_025,1,1.144587861,1,9,2,3
1,4,1,149,f42887_e_188,1,1.624847796,1,9,2,3
1,4,1,150,f42887_e_290,1,1.364854446,1,9,1,3
1,4,1,151,f42887_e_043,1,1.674836553,1,9,2,3
1,4,1,152,f42887_e_063,1,1.75485178,1,10,1,4
1,4,1,153,f42887_e_281,1,2.664854477,1,10,2,4
1,4,1,154,f42887_e_223,1,2.935139676,1,10,1,4
1,4,1,155,f42887_e_028,1,0.804031894,1,9,1,3
1,4,1,156,f42887_e_037,1,2.784115327,1,10,2,4
1,4,1,157,f42887_e_035,1,1.45373209,1,10,1,4
1,4,1,158,f42887_e_251,1,2.934922897,1,10,2,4
1,4,1,159,f42887_e_105,1,1.04380948,1,9,2,3
1,4,1,160,f42887_e_148,1,2.544544568,1,10,2,4
1,4,1,161,f42887_e_039,1,1.144595014,1,10,2,4
1,4,1,162,f42887_e_070,1,1.153460852,1,10,1,4
1,4,1,163,f42887_e_000,1,1.003720069,1,9,1,3
1,4,1,164,f42887_e_079,1,1.574205594,1,10,1,4
1,4,1,165,f42887_e_086,1,1.484156039,1,9,2,3
1,4,1,166,f42887_e_182,1,0.864032274,1,10,2,4
1,4,1,167,f42887_e_289,1,1.203831848,1,9,2,3
1,4,1,168,f42887_e_018,1,4.484901857,1,10,2,4
1,4,1,169,f42887_e_296,1,1.153603298,1,9,1,3
1,4,1,170,f42887_e_045,1,1.703606828,1,10,1,4
1,4,1,171,f42887_e_214,1,2.354588412,1,10,1,4
1,4,1,172,f42887_e_280,1,4.174825201,1,10,2,4
1,4,1,173,f42887_e_286,1,1.684227076,1,9,1,3
1,4,1,174,f42887_e_246,1,1.273643556,1,9,1,3
1,4,1,175,f42887_e_004,1,3.034466854,1,10,2,4
1,4,1,176,f42887_e_262,1,2.964298099,1,10,2,4
1,4,1,177,f42887_e_069,1,1.153184669,1,9,1,3
