Subject,Block,Trial,Stimulus,Group,RT,Acc,Location,Eye,Response
1,1,1,f42887_e_021,1,1.389223244,1,10,2,4
1,1,2,f42887_e_203,1,1.084467741,1,9,2,3
1,1,3,f42887_e_111,1,1.245008425,1,9,2,3
1,1,4,f42887_e_176,1,1.075122793,1,10,1,4
1,1,5,f42887_e_216,1,1.265364714,1,9,1,3
1,1,6,f42887_e_062,1,1.782973124,1,9,1,3
1,1,7,f42887_e_253,1,1.604812117,1,9,1,3
1,1,8,f42887_e_002,1,0.905867237,1,10,1,4
1,1,9,f42887_e_091,1,1.494666199,1,9,1,3
1,1,10,f42887_e_243,1,1.394861669,1,10,2,4
1,1,11,f42887_e_120,1,1.204951,1,10,2,4
1,1,12,f42887_e_141,1,1.24483077,1,9,1,3
1,1,13,f42887_e_219,1,1.104665707,1,10,2,4
1,1,14,f42887_e_278,1,1.10465203,1,10,2,4
1,1,15,f42887_e_295,1,0.794427857,1,10,1,4
1,1,16,f42887_e_240,1,0.974230556,1,10,1,4
1,1,17,f42887_e_189,1,1.284323567,1,9,1,3
1,1,18,f42887_e_188,1,1.054129376,1,9,1,3
1,1,19,f42887_e_071,1,1.424152789,1,9,2,3
1,1,20,f42887_e_275,1,1.04396591,1,10,1,4
1,1,21,f42887_e_207,1,1.144015869,1,10,1,4
1,1,22,f42887_e_136,1,1.213954842,1,9,1,3
1,1,23,f42887_e_163,1,2.814131444,1,10,2,4
1,1,24,f42887_e_094,1,1.293704846,1,9,1,3
1,1,25,f42887_e_027,1,1.303949177,1,9,2,3
1,1,26,f42887_e_291,1,1.093067823,1,9,2,3
1,1,27,f42887_e_117,1,0.97325015,1,10,2,4
1,1,28,f42887_e_092,1,0.973386699,1,10,2,4
1,1,29,f42887_e_014,1,1.062791019,1,9,2,3
1,1,30,f42887_e_038,1,1.032857331,1,9,2,3
1,1,31,f42887_e_005,1,1.503382515,1,9,1,3
1,1,32,f42887_e_050,1,1.043117429,1,10,1,4
