Subject,Block,Trial,Stimulus,Group,RT,Acc,Location,Eye,Response
11,1,1,f42887_e_171,1,0.823712049,1,9,1,3
11,1,2,f42887_e_272,1,1.957168565,1,10,2,4
11,1,3,f42887_e_226,1,0.640328964,1,9,1,3
11,1,4,f42887_e_241,1,0.534453373,1,9,1,3
11,1,5,f42887_e_148,1,0.628698642,0,10,1,3
11,1,6,f42887_e_218,1,0.840204435,1,9,1,3
11,1,7,f42887_e_030,1,2.063528403,1,10,2,4
11,1,8,f42887_e_277,1,1.086394373,1,10,2,4
11,1,9,f42887_e_110,1,0.651473485,1,10,2,4
11,1,10,f42887_e_175,1,2.357686463,1,10,1,4
11,1,11,f42887_e_046,1,1.815923668,1,10,2,4
11,1,12,f42887_e_083,1,1.357791896,1,10,1,4
11,1,13,f42887_e_152,1,1.49801014,1,9,2,3
11,1,14,f42887_e_156,1,0.804091186,1,10,2,4
11,1,15,f42887_e_109,1,1.286211373,1,9,1,3
11,1,16,f42887_e_193,1,0.721314203,1,9,1,3
11,1,17,f42887_e_131,1,1.368681387,1,10,2,4
11,1,18,f42887_e_061,1,1.156927094,0,9,2,4
11,1,19,f42887_e_153,1,0.815832852,1,10,2,4
11,1,20,f42887_e_151,1,0.792087337,1,9,2,3
11,1,21,f42887_e_099,1,0.768996505,1,9,2,3
11,1,22,f42887_e_182,1,1.697577086,1,10,1,4
11,1,23,f42887_e_275,1,1.638955532,1,9,2,3
11,1,24,f42887_e_031,1,1.098187977,1,10,1,4
11,1,25,f42887_e_066,1,1.239359475,1,9,2,3
11,1,26,f42887_e_076,1,0.745149289,1,10,2,4
11,1,27,f42887_e_245,1,0.756166295,1,10,2,4
11,1,28,f42887_e_025,1,1.356531362,1,9,1,3
11,1,29,f42887_e_043,1,1.509690225,1,9,2,3
11,1,30,f42887_e_228,1,0.92127458,1,10,2,4
11,1,31,f42887_e_165,1,0.792022336,0,9,2,4
11,1,32,f42887_e_147,1,1.050968774,1,9,1,3
11,1,33,f42887_e_159,1,1.014950073,1,9,2,3
11,1,34,f42887_e_104,1,0.873990375,1,10,2,4
11,1,35,f42887_e_060,1,1.215276201,1,9,1,3
11,1,36,f42887_e_029,1,1.168310473,1,9,2,3
11,1,37,f42887_e_285,1,0.768166101,1,10,2,4
11,1,38,f42887_e_273,1,0.579230816,1,10,2,4
11,1,39,f42887_e_097,1,1.16789185,1,9,1,3
11,1,40,f42887_e_270,1,0.944280817,1,10,1,4
11,1,41,f42887_e_290,1,1.215025525,1,9,2,3
11,1,42,f42887_e_018,1,1.22710495,1,10,1,4
11,1,43,f42887_e_223,1,1.050720586,1,10,1,4
11,1,44,f42887_e_114,1,1.509284042,1,9,2,3
11,1,45,f42887_e_224,1,1.085405663,1,10,1,4
11,1,46,f42887_e_001,1,1.908941991,1,10,1,4
11,1,47,f42887_e_120,1,1.20302914,1,10,2,4
11,1,48,f42887_e_091,1,0.944107272,1,10,2,4
11,1,49,f42887_e_146,1,0.838477381,1,9,2,3
11,1,50,f42887_e_069,1,0.721067259,1,10,2,4
11,1,51,f42887_e_222,1,0.603530866,1,10,2,4
11,1,52,f42887_e_202,1,1.097040029,1,10,1,4
11,1,53,f42887_e_113,1,0.955465459,1,9,2,3
11,1,54,f42887_e_186,1,0.790960538,1,9,2,3
11,1,55,f42887_e_254,1,0.814790648,1,10,2,4
11,1,56,f42887_e_087,1,0.756110312,1,9,2,3
11,1,57,f42887_e_221,1,1.250133269,1,9,1,3
11,1,58,f42887_e_162,1,1.379246802,1,9,2,3
11,1,59,f42887_e_024,1,0.638272237,1,10,2,4
11,1,60,f42887_e_026,1,1.08537083,1,10,1,4
11,1,61,f42887_e_133,1,1.920341542,1,10,1,4
11,1,62,f42887_e_268,1,1.497224833,1,10,1,4
11,1,63,f42887_e_173,1,1.2267364,1,9,1,3
11,1,64,f42887_e_296,1,2.744614658,1,9,2,3
11,1,65,f42887_e_256,1,1.167599187,1,9,2,3
11,1,66,f42887_e_286,1,0.814525043,1,10,2,4
11,1,67,f42887_e_207,1,1.567733606,0,9,1,4
11,1,68,f42887_e_215,1,1.284798131,0,10,2,3
11,1,69,f42887_e_269,1,0.814141875,1,10,2,4
11,1,70,f42887_e_216,1,0.602675892,1,10,2,4
11,1,71,f42887_e_284,1,1.096913136,1,10,1,4
11,1,72,f42887_e_201,1,1.354699496,1,9,1,3
11,1,73,f42887_e_240,1,1.672769774,1,10,2,4
11,1,74,f42887_e_038,1,1.061666991,1,10,1,4
11,1,75,f42887_e_267,1,0.967619527,1,10,2,4
11,1,76,f42887_e_127,1,0.978165037,1,10,1,4
11,1,77,f42887_e_103,1,1.201922246,1,10,1,4
11,1,78,f42887_e_027,1,1.367059766,1,10,1,4
11,1,79,f42887_e_236,1,1.060647802,1,10,2,4
11,1,80,f42887_e_279,1,1.013525946,1,10,1,4
11,1,81,f42887_e_174,1,1.059946468,1,10,2,4
11,1,82,f42887_e_179,1,0.684485936,1,10,2,4
11,1,83,f42887_e_217,1,0.849003608,1,9,2,3
11,1,84,f42887_e_264,1,1.025706139,1,10,1,4
11,1,85,f42887_e_141,1,1.095599729,1,9,2,3
11,1,86,f42887_e_239,1,0.966764553,1,10,1,4
11,1,87,f42887_e_149,1,0.731478101,1,10,1,4
11,1,88,f42887_e_259,1,1.084249007,1,10,2,4
11,1,89,f42887_e_242,1,1.119702597,1,9,1,3
11,1,90,f42887_e_204,1,1.260374609,0,9,2,4
11,1,91,f42887_e_050,1,1.261002232,1,9,1,3
11,1,92,f42887_e_278,1,0.942860422,1,10,2,4
11,1,93,f42887_e_138,1,1.177777391,1,9,1,3
11,1,94,f42887_e_238,1,0.801435759,1,9,1,3
11,1,95,f42887_e_205,1,0.918961267,1,9,2,3
11,1,96,f42887_e_023,1,0.589983771,1,10,2,4
11,1,97,f42887_e_203,1,1.107378716,1,10,1,4
11,1,98,f42887_e_035,1,0.695626103,1,10,1,4
11,1,99,f42887_e_074,1,1.237183941,1,10,2,4
11,1,100,f42887_e_258,1,1.037184687,1,9,1,3
11,1,101,f42887_e_088,1,1.286186492,1,9,2,3
11,1,102,f42887_e_003,1,1.871364494,1,10,1,4
11,1,103,f42887_e_098,1,1.071802587,1,10,2,4
11,1,104,f42887_e_036,1,1.024820375,1,10,1,4
11,1,105,f42887_e_248,1,1.130735775,1,10,1,4
11,1,106,f42887_e_250,1,0.613293868,1,9,1,3
11,1,107,f42887_e_161,1,0.63651035,1,10,1,4
11,1,108,f42887_e_194,1,0.919287831,1,9,2,3
11,1,109,f42887_e_253,1,0.612954864,1,10,2,4
11,1,110,f42887_e_124,1,1.177108713,1,9,1,3
11,1,111,f42887_e_053,1,1.200978011,1,10,2,4
11,1,112,f42887_e_096,1,1.106583456,0,10,1,3
11,1,113,f42887_e_168,1,0.589026163,1,9,1,3
11,1,114,f42887_e_135,1,0.671667856,1,10,1,4
11,1,115,f42887_e_077,1,0.530648132,1,9,1,3
11,1,116,f42887_e_008,1,0.695369206,1,10,1,4
11,1,117,f42887_e_017,1,0.566026146,1,10,1,4
11,1,118,f42887_e_122,1,1.094848011,1,9,2,3
11,1,119,f42887_e_028,1,1.424842519,1,9,1,3
11,1,120,f42887_e_261,1,1.459957105,1,10,1,4
11,1,121,f42887_e_177,1,0.907104216,1,9,2,3
11,1,122,f42887_e_034,1,1.118855398,1,9,1,3
11,1,123,f42887_e_225,1,1.271443553,1,10,1,4
