"","x"
"1",0.0601399401439687
"2",0.100316742453112
"3",0.161999657831658
"4",-0.10397944039254
"5",0.0069918274180048
"6",-0.411449281642252
"7",-0.103679822397516
"8",0.180487856415599
"9",0.136306075173651
"10",-0.0521660092922912
"11",0.160849302347752
"12",-0.209861567814606
"13",0.251725547933013
"14",-0.177601713782117
"15",-0.0405140489827637
"16",0.037815558675403
"17",0.189913355521033
"18",-0.130723901213813
"19",0.0507192209746257
"20",-0.16818626707431
"21",-0.0201310343319322
"22",-0.138667933280438
"23",0.0526553208584102
"24",0.0983910440984103
"25",-0.0647887068348589
"26",0.165928427167924
"27",0.0712764180566295
"28",-0.000150336479226154
"29",0.045678488435634
"30",-0.049242782064631
"31",-0.0411879229143936
"32",0.0150717044765156
"33",-0.162106618925288
"34",-0.0458135235354847
"35",0.108879593840212
"36",-0.0528805722256923
"37",-0.0243075155568128
"38",0.0851599361214432
"39",0.0083361705278609
"40",0.0701071521381855
"41",-0.00467580328615095
"42",-0.113848824846776
"43",0.0420074166470499
"44",-0.101938452254647
"45",0.061946130749526
"46",0.0188236657410453
"47",-0.0376115741324357
"48",-0.0173336791450567
"49",-0.0301669981397539
"50",0.121487776799121
