"","V1"
"ss0",0.0239083796770037
"ss1",-0.460171913138853
"ss2",-0.0902804620092922
"ss3",0.319060183978428
"ss4",0.174880521110781
"ss5",-0.00720504660797568
"ss6",-0.271750330753502
"ss7",-0.261915221350988
"ss8",0.139209174979825
"ss9",0.0416153675365717
"ss10",0.165616771377255
"ss11",0.00157188766380671
"ss12",0.0674638337817052
"ss13",0.241287605692106
"ss14",-0.110489513532354
"ss15",-0.011775943088818
"ss16",0.0267312859915725
"ss17",-0.0471372382146676
"ss18",-0.290733371682149
"ss19",-0.0329627696004083
"ss20",-0.0998379717741521
"ss21",-0.106381737045099
"ss22",0.0473164876633093
"ss23",0.000895002747606396
"ss24",-0.0793776270763281
"ss25",0.0929874396771743
"ss26",-0.00241194815249499
"ss27",0.172782205653314
"ss28",-0.0323553954565369
"ss29",0.013239573606235
"ss30",-0.0481995221936913
"ss31",0.0759909078597365
"ss32",-0.0546336528792331
"ss33",-0.0807591165076355
"ss34",0.0391012452935802
"ss35",0.0517044189227471
"ss36",-0.111977262259591
"ss37",-0.0379831484814642
"ss38",0.0287667849303731
"ss39",0.158329545681459
"ss40",0.110370405808332
"ss41",0.102579912702316
"ss42",0.0756246097135658
"ss43",-0.0171807280326619
"ss44",0.334378250783183
"ss45",0.0384594226123516
"ss46",0.0537579841709689
"ss47",0.0992002530901161
"ss48",0.0309322188641098
"ss49",0.0741389397430218
