Dataset,Stimulus,Attractive,Competent,Trustworthy,Dominant,Mean,Frightening,Extroverted,Threatening,Likeable,Gender,Category
Original300,f42887_e_120,3.2,4.363636364,4.137931034,6.1739,6.2222,5.1429,4.7273,5.7143,4.5938,0.05,unambiguously male
Original300,f42887_e_121,4.057142857,5.272727273,4.862068966,7.3913,5.2963,4.3214,5.0303,5.9524,5.5938,0,unambiguously male
Original300,f42887_e_122,3.628571429,4.840909091,4.586206897,5,5.0741,4.9643,4.8182,5,4.6562,0.15,unambiguously male
Original300,f42887_e_123,2.742857143,4.136363636,3.413793103,6.5652,6.4815,5.9286,3.8182,6.9048,4.0625,0,unambiguously male
Original300,f42887_e_124,3.742857143,4.386363636,4.551724138,4.3913,4.6296,4.3571,5.3939,4.0952,5.125,0.65,ambiguous
Original300,f42887_e_125,3.6,4.386363636,5.172413793,3.7391,3.963,4.25,4.303,4,4.375,0.9,unambiguously female
Original300,f42887_e_126,3.314285714,4.613636364,4.965517241,3.4783,4.1852,3.4643,5.3636,3.2381,4.9375,0.75,unambiguously female
Original300,f42887_e_127,3.542857143,5.363636364,4.965517241,5.913,4.7778,4.4286,6.0909,4.9048,5.2188,0.15,unambiguously male
Original300,f42887_e_128,3.8,4.772727273,4.517241379,4.2174,5.3333,5,5,4.5238,4.7188,0.9,unambiguously female
Original300,f42887_e_129,4.4,4.681818182,4.75862069,6.6087,5.5556,4.75,4.9394,5.3333,5.6875,0,unambiguously male
Original300,f42887_e_130,3.685714286,4.568181818,4.551724138,4.913,4.5556,4.4643,4.9394,4.3333,4.9062,0.75,unambiguously female
Original300,f42887_e_131,2.771428571,4.340909091,3.827586207,4.6522,5.5185,6.4286,5.6667,6.1429,4.2188,0.35,ambiguous
Original300,f42887_e_132,1.942857143,3.772727273,3.689655172,6.087,5.4815,5.5714,4.8485,6.2381,4.375,0,unambiguously male
Original300,f42887_e_133,4.228571429,4.795454545,5.103448276,4.7826,4.6667,4.1429,5.1818,3.8571,5.5,0.85,unambiguously female
Original300,f42887_e_134,3.028571429,4.409090909,4.482758621,4.0435,5.1852,4.3214,4.4242,4.9524,5.125,0.65,ambiguous
Original300,f42887_e_135,4.4,5.386363636,5.344827586,3.913,4,4.3571,6,4.0476,5.5625,1,unambiguously female
Original300,f42887_e_136,4.285714286,4.840909091,5.482758621,4.7391,4.1852,4.2143,5.5758,3.8571,5.3438,0.55,ambiguous
Original300,f42887_e_137,1.885714286,3.659090909,4.586206897,5.2609,4.6667,5.0357,4.4242,5.3333,4.6875,0,unambiguously male
Original300,f42887_e_138,3.228571429,4.227272727,3.862068966,6.3043,6.0741,6.25,4.1212,6.4762,4.875,0,unambiguously male
Original300,f42887_e_139,3.6,5.272727273,4.551724138,6,5.7037,4.75,4.2424,6.1429,5,0.05,unambiguously male
Original300,f42887_e_140,4.771428571,5.5,6.103448276,3.8696,3.8519,3.1429,6.3333,3.4286,6.4688,1,unambiguously female
Original300,f42887_e_141,3.6,4.818181818,4,6,5.7778,4.75,4.5152,5.8095,5.0312,0,unambiguously male
Original300,f42887_e_142,4.542857143,5.340909091,5.448275862,4.3913,4.1852,3.6071,5.3333,4.0476,6.0312,0.75,unambiguously female
Original300,f42887_e_143,4.257142857,5.431818182,5.448275862,3.6522,4.1111,3.8214,5.8788,3.7143,6.0938,0.9,unambiguously female
Original300,f42887_e_144,4.514285714,5.5,5.379310345,4.5217,4.3704,3.4643,5.303,3.2381,5.4688,0.7,ambiguous
Original300,f42887_e_145,3.342857143,4.818181818,4.551724138,4.5217,4.5556,4.5714,4.9697,4.0952,4.6562,0.85,unambiguously female
Original300,f42887_e_146,2.428571429,3.340909091,3.344827586,3.5652,5,4.7143,3.7576,4.9048,3.75,0.85,unambiguously female
Original300,f42887_e_147,3.2,4.613636364,3.862068966,7.0435,6.7407,5.9643,5.0909,6.7143,4.7188,0,unambiguously male
Original300,f42887_e_148,5.114285714,5.636363636,5.793103448,4.1304,4.4815,3.7143,5.7273,3.8571,6.0312,0.9,unambiguously female
Original300,f42887_e_149,4.4,5.295454545,4.034482759,7.087,6.0741,5.6429,5.1818,6.6667,4.9375,0,unambiguously male
Original300,f42887_e_150,4.542857143,5.022727273,4.24137931,6.5652,5.6296,4.2857,4.6667,5.1905,5.4375,0,unambiguously male
Original300,f42887_e_151,3.142857143,4.75,5.344827586,4.0435,4.1481,3.3214,5.3636,4.3333,5.0625,0.4,ambiguous
Original300,f42887_e_152,5.085714286,5.840909091,5.931034483,3.6957,4.2963,2.75,6.3636,2.9524,5.7812,0.95,unambiguously female
Original300,f42887_e_153,3.971428571,4.886363636,5.034482759,5.7826,4.7037,4.25,5.5455,4.9048,5.1562,0,unambiguously male
Original300,f42887_e_154,2.571428571,4.090909091,3.896551724,6.5217,5.8889,5.8929,4.2424,6.1905,4.3125,0.05,unambiguously male
Original300,f42887_e_155,3.257142857,4.613636364,4.310344828,3.5652,4.4815,4,5,4.2381,4.4688,0.85,unambiguously female
Original300,f42887_e_156,2.314285714,3.681818182,4.034482759,4.7826,4.3333,4.7143,4.8788,5.1905,4.0625,0.5,ambiguous
Original300,f42887_e_157,3.485714286,5.181818182,4.24137931,5.5217,5.4815,4.75,5,5.6667,5,0.1,unambiguously male
Original300,f42887_e_158,4.114285714,4.545454545,4.655172414,4.3043,4.8519,3.6786,5.2121,3.9524,5.4062,0.5,ambiguous
Original300,f42887_e_159,3.942857143,4.840909091,5.068965517,6.7391,5.0741,4.2857,5.1515,5.5714,5.25,0,unambiguously male
Original300,f42887_e_160,4.057142857,5,4.379310345,6.6957,6.2593,5.1429,4.5455,5.619,5.0625,0,unambiguously male
Original300,f42887_e_161,3.457142857,4.545454545,4.75862069,6.1304,5,4.8571,4.6364,5.7143,5.125,0.05,unambiguously male
Original300,f42887_e_162,3.771428571,4.545454545,4.620689655,5.5652,5.4074,4.7143,4.7576,4.9048,5.3125,0.55,ambiguous
Original300,f42887_e_163,3.228571429,4.204545455,5,3.0435,4.1481,3.3929,4.9697,4.4762,4.7812,0.9,unambiguously female
Original300,f42887_e_164,5.257142857,6.227272727,4.586206897,7.1304,5.7778,4.5357,4.4545,6,5.875,0,unambiguously male
Original300,f42887_e_165,3.8,4.090909091,5,3.913,4.1852,4.1786,5,3.5238,5.1562,0.75,unambiguously female
Original300,f42887_e_166,5.6,5.727272727,5.586206897,7.0435,5.8148,4.3929,4.1818,5.1429,5.5625,0.05,unambiguously male
Original300,f42887_e_167,2.914285714,4.159090909,4.034482759,3.6957,4.5926,4.7857,4.1212,4.2857,4.4375,0.75,unambiguously female
Original300,f42887_e_168,3.542857143,5.181818182,4.310344828,5.1304,5.5185,4.5,5.5152,4.619,4.9688,0.75,unambiguously female
Original300,f42887_e_169,4.257142857,4.863636364,5,4.2174,4.1852,3.2857,5.3939,3.1905,5.0625,0.75,unambiguously female
Original300,f42887_e_170,2.514285714,3.068181818,3.448275862,3.6957,4.3704,4.9286,3.0606,5,4,0,unambiguously male
Original300,f42887_e_171,3.257142857,4.5,3.896551724,5.913,5.5926,5.6786,4.5455,5.9524,4.7188,0.05,unambiguously male
Original300,f42887_e_172,4.257142857,4.977272727,5.24137931,5,5.4074,3.8571,4.8182,4.7143,4.5312,0.3,ambiguous
Original300,f42887_e_173,3.028571429,3.522727273,3.724137931,5.1304,5.4815,4.75,3.8485,5.7619,4.5312,0,unambiguously male
Original300,f42887_e_174,3.171428571,4.568181818,4.103448276,6.3043,5.4074,5.2857,4.9394,5.8095,5,0.05,unambiguously male
Original300,f42887_e_175,3.628571429,4.704545455,4.724137931,3.6957,5.1111,3.7857,5.0909,3.6667,4.8125,0.8,unambiguously female
Original300,f42887_e_176,5.085714286,5.931818182,5.75862069,4.3913,4.0741,3.3214,5.9394,3.8095,5.75,0.85,unambiguously female
Original300,f42887_e_177,2.142857143,3.636363636,4.103448276,4.087,5.4815,5.25,3.9697,6,4.4688,0.15,unambiguously male
Original300,f42887_e_178,4.714285714,5.954545455,4.103448276,6.5652,5.7407,4.6429,5.6364,5.1905,5.4062,0.25,unambiguously male
Original300,f42887_e_179,3.542857143,5.045454545,4.551724138,6.4348,6.037,5.3929,4.6364,6.1905,4.8125,0.1,unambiguously male
Original300,f42887_e_180,4.085714286,5.090909091,5.551724138,6.5652,4.963,3.75,5.5455,4.7143,5.3438,0,unambiguously male
Original300,f42887_e_181,3.8,4.590909091,4.586206897,4.8696,4.8148,4,4.3939,4.2857,4.8438,0.7,ambiguous
Original300,f42887_e_182,5.171428571,4.886363636,5.275862069,4.1739,4.9259,4.5714,5.5758,4.381,5.8438,0.9,unambiguously female
Original300,f42887_e_183,3.628571429,4.795454545,5.206896552,5.4348,4.3704,4.0714,4.8788,4.2857,5.7188,0,unambiguously male
Original300,f42887_e_184,2.514285714,3.909090909,4.103448276,5.2609,5.4074,4.4286,4.4242,5.4286,4.25,0,unambiguously male
Original300,f42887_e_185,3.542857143,4.977272727,4.551724138,6.2609,5.2593,5.1429,4.7576,5.8095,5.0312,0,unambiguously male
Original300,f42887_e_186,2.657142857,3.659090909,3.344827586,3.2609,5.1111,4.8214,3.6667,5.1429,4.1562,0.8,unambiguously female
Original300,f42887_e_187,2.685714286,3.681818182,4.448275862,3.5217,4.2593,4.6429,3.5758,3.7619,4.4375,0.8,unambiguously female
Original300,f42887_e_188,6.057142857,5.659090909,6.172413793,4.1304,3.8148,3.25,5.4848,2.7143,6.2188,1,unambiguously female
Original300,f42887_e_189,2.542857143,3.863636364,4.172413793,4.1304,4.7778,5.75,4.5152,5.0952,4.0938,0.6,ambiguous
Original300,f42887_e_190,4.8,5.25,4.517241379,6.6087,5.5926,5.1786,4.697,5.9524,5.3125,0.05,unambiguously male
Original300,f42887_e_191,4.285714286,5.25,4.965517241,6.3913,5.8148,4.75,4.7576,6,5.5312,0,unambiguously male
Original300,f42887_e_192,3.971428571,5.931818182,3.655172414,5.7826,6.4074,4.8571,4.6667,5.1905,5.1875,0.6,ambiguous
Original300,f42887_e_193,4.314285714,4.977272727,4.586206897,4.6522,5.1852,4.3214,4.7879,4.4286,4.875,0.75,unambiguously female
Original300,f42887_e_194,5.457142857,5.431818182,5.379310345,6.8261,5.2222,4.3929,5.8788,5.619,5.7812,0,unambiguously male
Original300,f42887_e_195,5.028571429,5.181818182,5.517241379,3.8696,4.1852,3.7143,5.6667,3.5238,6,1,unambiguously female
Original300,f42887_e_196,3.228571429,4.272727273,4.655172414,6.0435,5.3333,5.3214,4.5455,5.7143,4.9688,0.05,unambiguously male
Original300,f42887_e_197,4.4,5.590909091,4.896551724,6,5,4.1071,4.4545,5,5.3125,0,unambiguously male
Original300,f42887_e_198,5.514285714,5.522727273,5.655172414,4.1739,4.2963,3.8929,6.0606,3.0476,6.1562,0.85,unambiguously female
Original300,f42887_e_199,3.371428571,4.295454545,5.034482759,3.3913,4.2593,4.1786,5.2424,3.8571,5.1562,1,unambiguously female
Original300,f42887_e_200,4.171428571,5.636363636,5.551724138,6.2609,4.8148,3.6429,5.9394,4.7143,5.5,0,unambiguously male
Original300,f42887_e_201,4.085714286,4.5,4.75862069,4.087,5.3704,4.1429,4.6364,3.9524,5.5,0.95,unambiguously female
Original300,f42887_e_202,5.771428571,6.022727273,5.862068966,4.7826,4.6296,3.5,5.697,4.1429,6.4375,0.85,unambiguously female
