"","Valence","Power"
"ss0",0.0263667482692795,0.00181498081751231
"ss1",-0.284311682780427,0.518231421360055
"ss2",-0.159638963538004,0.148090272985063
"ss3",0.373941598103731,-0.261424817679615
"ss4",0.195887278277079,-0.129531843005659
"ss5",0.0642147961218243,-0.265993310768357
"ss6",-0.30276807770883,0.0345374808404717
"ss7",-0.220332755085889,0.381031461730372
"ss8",0.0911803333989376,-0.0172499188814283
"ss9",-0.051371006259747,-0.148573939986035
"ss10",0.180581742029984,0.0114940704269547
"ss11",-0.0981462932387737,-0.198326889875766
"ss12",0.0505737140870602,0.139816287896266
"ss13",0.123728987605157,-0.35052435046246
"ss14",-0.107833146015945,0.0285159355397465
"ss15",-0.0217671838284636,0.0292530729199675
"ss16",0.039628346973543,0.131277436207219
"ss17",-0.0787344544005,-0.0787457998980729
"ss18",-0.320154017337755,0.186075368154465
"ss19",0.00231714103947896,-0.0466835513579809
"ss20",-0.0564442782830537,0.115962691645539
"ss21",-0.0682646391070749,0.0206568334533305
"ss22",0.0137096836428536,0.0170587729256243
"ss23",-0.0229080444569191,0.0471694013371845
"ss24",-0.133120813973739,-0.0358205390626696
"ss25",0.166173214598562,0.106935007289127
"ss26",0.00503441116673675,0.0418751888884251
"ss27",0.16169346135299,-0.102156851275161
"ss28",-0.0324002895948559,0.0750029728093433
"ss29",0.0118214017198843,-0.053077173910531
"ss30",-0.084917754907145,0.0161413542867283
"ss31",0.0916328142882857,-0.0301352635594062
"ss32",-0.0603113471965,-0.0907630275351855
"ss33",-0.0460431200000532,0.0473840833356044
"ss34",0.067712537764183,0.0606547159406573
"ss35",0.044715817143256,-0.0207901285058948
"ss36",-0.112680761173395,0.0645234921872928
"ss37",-0.0680090394683232,0.0775820015720878
"ss38",0.0968288787043007,-0.00173756243666371
"ss39",0.165806363013498,-0.0600643672338883
"ss40",0.124994025066045,-0.0473294594377469
"ss41",0.0465263772855643,-0.170606868842132
"ss42",0.0425777009573139,-0.0189171809285362
"ss43",-0.0547963870834663,-0.069512061365686
"ss44",0.367506199558277,-0.125100646806202
"ss45",0.0312502886318968,0.0462967462951594
"ss46",0.0158215203217999,-0.0299243500158957
"ss47",0.154718694613649,-0.0558159185678827
"ss48",0.0208545671898897,-0.0101367023301391
"ss49",0.174214323605892,0.0578785215697796
