"","V1"
"ss0",0.114691689280137
"ss1",-0.0479429089665494
"ss2",-0.0325803836965461
"ss3",0.199154687967744
"ss4",-0.010213229227416
"ss5",0.24382905442947
"ss6",0.199801168598008
"ss7",-0.308077664742393
"ss8",-0.000380231132005612
"ss9",0.0511704445881391
"ss10",0.160023036810194
"ss11",0.217804701486981
"ss12",-0.210989030886369
"ss13",0.262569031927665
"ss14",0.0922259191350843
"ss15",-0.190202984806786
"ss16",-0.0652240304683047
"ss17",0.0157901728479186
"ss18",-0.00889784034018328
"ss19",0.198388448520596
"ss20",-0.0514461565306666
"ss21",-0.157579365400248
"ss22",0.0977329243134998
"ss23",0.0700747935401439
"ss24",0.053850080638936
"ss25",-0.0584200250203408
"ss26",-0.011848438314357
"ss27",0.0557568684645118
"ss28",-0.122750771950202
"ss29",-0.107017818571522
"ss30",-0.00837877620681913
"ss31",0.0771473850915505
"ss32",0.101487604451219
"ss33",-0.091305366108138
"ss34",-0.0890452414084623
"ss35",-0.0736486835443507
"ss36",-0.174002687050727
"ss37",-0.103243073031255
"ss38",-0.134314975073451
"ss39",-0.174649864962476
"ss40",0.10521027177022
"ss41",0.126780045529312
"ss42",0.124975039805931
"ss43",0.313345515869323
"ss44",-0.179836376186122
"ss45",0.0367324190364965
"ss46",0.0132262447296174
"ss47",0.118944575354258
"ss48",0.112434734532871
"ss49",-0.254110633871601
